Kreisnummer;Kreisname;bevoelkerung_u18;bevoelkerung_18_65;bevoelkerung_ue65
1001000;Flensburg, Stadt;16,02;64,02;19,95
1002000;Kiel, Landeshauptstadt;15,03;65,99;18,98
1003000;Lübeck, Hansestadt;15,22;61,36;23,42
1004000;Neumünster, Stadt;16,45;60,5;23,05
1051000;Dithmarschen;15,74;58,73;25,53
1053000;Herzogtum Lauenburg;17,72;59,53;22,74
1054000;Nordfriesland;15,6;59,51;24,88
1055000;Ostholstein;14,46;57,4;28,13
1056000;Pinneberg;17,44;60,25;22,31
1057000;Plön;16,17;56,94;26,88
1058000;Rendsburg-Eckernförde;16,95;58,87;24,18
1059000;Schleswig-Flensburg;17,12;58,28;24,6
1060000;Segeberg;17,29;60,57;22,14
1061000;Steinburg;16,38;60,38;23,24
1062000;Stormarn;17,77;58,67;23,55
2000000;Hamburg, Freie und Hansestadt;17,21;64,88;17,91
3101000;Braunschweig, Stadt;15,02;63,94;21,05
3102000;Salzgitter, Stadt;19,01;58,11;22,87
3103000;Wolfsburg, Stadt;17,76;59,93;22,31
3151000;Gifhorn;;60,18;21,05
3153000;Goslar;13,83;58,43;27,74
3154000;Helmstedt;16,97;59,27;23,76
3155000;Northeim;15,8;58,18;26,01
3157000;Peine;18,58;59,83;21,59
3158000;Wolfenbüttel;16,2;59,43;24,38
3159000;Göttingen;15,69;60,99;23,33
3241000;Region Hannover;16,96;61,63;21,41
3251000;Diepholz;17,2;59,91;22,89
3252000;Hameln-Pyrmont;16,66;57,82;25,52
3254000;Hildesheim;16,1;60,17;23,73
3255000;Holzminden;15,72;57,75;26,52
3256000;Nienburg (Weser);17,42;59,68;22,9
3257000;Schaumburg;16,14;58,88;24,98
3351000;Celle;17,61;58,47;23,92
3352000;Cuxhaven;16,62;57,38;26
3353000;Harburg;17,73;59,79;22,49
3354000;Lüchow-Dannenberg;15,49;55,92;28,59
3355000;Lüneburg;17,18;61,92;20,9
3356000;Osterholz;17,34;58,73;23,93
3357000;Rotenburg (Wümme);17,2;60,82;21,98
3358000;Heidekreis;17,3;60,08;22,63
3359000;Stade;18,12;59,97;21,9
3360000;Uelzen;15,66;58,43;25,91
3361000;Verden;18,11;58,98;22,9
3401000;Delmenhorst, Stadt;18,21;59,51;22,28
3402000;Emden, Stadt;16,96;61,53;21,52
3403000;Oldenburg (Oldenburg), Stadt;15,65;64,74;19,61
3404000;Osnabrück, Stadt;15,47;65,91;18,62
3405000;Wilhelmshaven, Stadt;15,36;58,75;25,89
3451000;Ammerland;17,46;58,72;23,83
3452000;Aurich;16,44;59,44;24,12
3453000;Cloppenburg;20,25;62,55;17,2
3454000;Emsland;18,31;61,77;19,92
3455000;Friesland;15,95;57,35;26,71
3456000;Grafschaft Bentheim;18,43;60,33;21,24
3457000;Leer;17,57;60,29;22,14
3458000;Oldenburg;17,38;60,43;22,19
3459000;Osnabrück;18,16;60,26;21,59
3460000;Vechta;19,92;62,9;17,18
3461000;Wesermarsch;16,51;59,49;24
3462000;Wittmund;16,32;58,35;25,32
4011000;Bremen, Stadt;16,87;62,17;20,96
4012000;Bremerhaven, Stadt;18,5;59,68;21,82
5111000;Düsseldorf, Stadt;16,38;64,41;19,21
5112000;Duisburg, Stadt;17,95;61,64;20,41
5113000;Essen, Stadt;17;61,34;21,65
5114000;Krefeld, Stadt;16,98;60,79;22,22
5116000;Mönchengladbach, Stadt;17,49;61,57;20,94
5117000;Mülheim an der Ruhr, Stadt;16,96;59,09;23,95
5119000;Oberhausen, Stadt;17,01;60,58;22,4
5120000;Remscheid, Stadt;17,49;60,45;22,06
5122000;Solingen, Klingenstadt;17,43;61,06;21,51
5124000;Wuppertal, Stadt;17,88;61,42;20,7
5154000;Kleve;16,91;61,61;21,48
5158000;Mettmann;17,3;58,71;23,99
5162000;Rhein-Kreis Neuss;17,77;59,7;22,53
5166000;Viersen;16,37;60,39;23,24
5170000;Wesel;16,36;59,33;24,31
5314000;Bonn, Stadt;17,27;64,26;18,47
5315000;Köln, Stadt;16,32;66,04;17,65
5316000;Leverkusen, Stadt;17,66;60,63;21,71
5334000;Städteregion Aachen;15,79;63,39;20,82
5358000;Düren;17,4;60,58;22,02
5362000;Rhein-Erft-Kreis;17,86;60,23;21,91
5366000;Euskirchen;17,16;60,25;22,59
5370000;Heinsberg;17,25;60,87;21,88
5374000;Oberbergischer Kreis;18,11;59,81;22,08
5378000;Rheinisch-Bergischer Kreis;17,13;58,99;23,88
5382000;Rhein-Sieg-Kreis;17,8;59,85;22,35
5512000;Bottrop, Stadt;16,26;60,29;23,44
5513000;Gelsenkirchen, Stadt;18,92;60,4;20,68
5515000;Münster, Stadt;14,95;67,25;17,8
5554000;Borken;18,57;61,6;19,83
5558000;Coesfeld;17,75;60,01;22,24
5562000;Recklinghausen;17,03;59,42;23,55
5566000;Steinfurt;18,2;61,14;20,67
5570000;Warendorf;17,97;60,05;21,99
5711000;Bielefeld, Stadt;17,56;62,44;20
5754000;Gütersloh;18,15;61,5;20,35
5758000;Herford;17,64;59,8;22,56
5762000;Höxter;17,1;59,12;23,78
5766000;Lippe;18,51;58,38;23,11
5770000;Minden-Lübbecke;18,14;59,4;22,46
5774000;Paderborn;17,98;62,67;19,35
5911000;Bochum, Stadt;15,2;62,23;22,57
5913000;Dortmund, Stadt;17,18;62,3;20,52
5914000;Hagen, Stadt der FernUniversität;18,37;59,68;21,95
5915000;Hamm, Stadt;17,78;60,99;21,23
5916000;Herne, Stadt;17,3;60,94;21,76
5954000;Ennepe-Ruhr-Kreis;16,11;59,55;24,34
5958000;Hochsauerlandkreis;16,64;60,42;22,93
5962000;Märkischer Kreis;17,28;60,07;22,65
5966000;Olpe;17,35;61,24;21,41
5970000;Siegen-Wittgenstein;17,01;60,69;22,3
5974000;Soest;17,25;60,56;22,19
5978000;Unna;16,86;59,67;23,47
6411000;Darmstadt, Wissenschaftsstadt;16,27;66,27;17,46
6412000;Frankfurt am Main, Stadt;17,09;67,12;15,79
6413000;Offenbach am Main, Stadt;18,68;65,06;16,26
6414000;Wiesbaden, Landeshauptstadt;18,17;61,73;20,09
6431000;Bergstraße;17,03;59,95;23,03
6432000;Darmstadt-Dieburg;17,71;60,56;21,72
6433000;Groß-Gerau;18,43;61,99;19,59
6434000;Hochtaunuskreis;18,28;58,73;22,98
6435000;Main-Kinzig-Kreis;17,43;60,59;21,97
6436000;Main-Taunus-Kreis;18,46;60,25;21,29
6437000;Odenwaldkreis;16,18;59,02;24,79
6438000;Offenbach;17,97;60,52;21,51
6439000;Rheingau-Taunus-Kreis;16,66;59,49;23,86
6440000;Wetteraukreis;17,41;60,92;21,68
6531000;Gießen;16,58;63,48;19,94
6532000;Lahn-Dill-Kreis;17,2;60,06;22,73
6533000;Limburg-Weilburg;16,94;60,7;22,36
6534000;Marburg-Biedenkopf;16,3;63,35;20,35
6535000;Vogelsbergkreis;15,62;58,91;25,47
6611000;Kassel, documenta-Stadt;16,74;63,41;19,85
6631000;Fulda;17,16;61,05;21,79
6632000;Hersfeld-Rotenburg;16,74;58,66;24,59
6633000;Kassel;16,4;58,32;25,28
6634000;Schwalm-Eder-Kreis;16,29;59,86;23,86
6635000;Waldeck-Frankenberg;16,71;59,53;23,75
6636000;Werra-Meißner-Kreis;15,29;58,6;26,11
7111000;Koblenz, kreisfreie Stadt;15,25;62,86;21,89
7131000;Ahrweiler;15,97;58,83;25,19
7132000;Altenkirchen (Westerwald);17,38;59,78;22,84
7133000;Bad Kreuznach;16,92;58,94;24,14
7134000;Birkenfeld;16,52;58,55;24,93
7135000;Cochem-Zell;15,57;59,13;25,3
7137000;Mayen-Koblenz;16,88;60,21;22,91
7138000;Neuwied;17,62;59,45;22,94
7140000;Rhein-Hunsrück-Kreis;16,67;59,62;23,71
7141000;Rhein-Lahn-Kreis;16,49;59,51;24
7143000;Westerwaldkreis;17,27;60,69;22,04
7211000;Trier, kreisfreie Stadt;14,8;66,78;18,42
7231000;Bernkastel-Wittlich;16,77;59,44;23,79
7232000;Eifelkreis Bitburg-Prüm;17,45;61,24;21,31
7233000;Vulkaneifel;15,56;59,02;25,41
7235000;Trier-Saarburg;17,15;61,12;21,73
7311000;Frankenthal (Pfalz), kreisfreie Stadt;17,49;59,4;23,11
7312000;Kaiserslautern, kreisfreie Stadt;15,71;63,61;20,69
7313000;Landau in der Pfalz, kreisfreie Stadt;15,48;64,33;20,19
7314000;Ludwigshafen am Rhein, kreisfreie Stadt;18,88;62,3;18,82
7315000;Mainz, kreisfreie Stadt;15,04;67,08;17,88
7316000;Neustadt an der Weinstraße, kreisfreie Stadt;16,52;58,41;25,07
7317000;Pirmasens, kreisfreie Stadt;15,85;58,4;25,76
7318000;Speyer, kreisfreie Stadt;15,9;60,56;23,53
7319000;Worms, kreisfreie Stadt;17,83;61,16;21,01
7320000;Zweibrücken, kreisfreie Stadt;16,03;60,02;23,95
7331000;Alzey-Worms;17,66;60,62;21,72
7332000;Bad Dürkheim;16,04;58,8;25,15
7333000;Donnersbergkreis;16,96;59,74;23,31
7334000;Germersheim;17,52;61,34;21,14
7335000;Kaiserslautern;18,94;58,24;22,82
7336000;Kusel;16,34;58,58;25,07
7337000;Südliche Weinstraße;16,23;59,43;24,33
7338000;Rhein-Pfalz-Kreis;17,6;58,91;23,49
7339000;Mainz-Bingen;17,69;60,21;22,1
7340000;Südwestpfalz;14,9;58,34;26,76
8111000;Stuttgart, Stadtkreis;15,67;66,1;18,23
8115000;Böblingen;18,45;60,99;20,56
8116000;Esslingen;17,26;61,77;20,96
8117000;Göppingen;17,48;60,41;22,11
8118000;Ludwigsburg;18,04;61,55;20,41
8119000;Rems-Murr-Kreis;17,62;60,76;21,62
8121000;Heilbronn, Stadtkreis;18,02;62,74;19,23
8125000;Heilbronn;18,12;61,88;20
8126000;Hohenlohekreis;17,76;61,87;20,37
