Gemeindeschlüsselnummer;Gemeindename;Anzahl;qkm;Ew/qkm
10535313056;Hornbek;226;5,89;38
10545492156;Winnert;722;18,88;38
10545494010;Bargum;664;17,29;38
10555543022;Heringsdorf (Kreis Ostholstein);1137;29,55;38
10555546036;Riepsdorf;969;25,81;38
10575785068;Rendswühren;743;19,75;38
10585853068;Haale;501;13,03;38
10585859141;Schierensee;347;9,18;38
10585864021;Bokel (Kreis Rendsburg-Eckernförde);582;15,27;38
10595912162;Sollerup;493;12,98;38
10595952149;Nordhackstedt;475;12,47;38
10595952179;Lindewitt;2008;53,28;38
10615153006;Bahrenfleth;567;14,76;38
31545402002;Beierstedt;361;9,58;38
31585407032;Vahlberg;695;18,09;38
31595401008;Bühren;525;14;38
32515407008;Borstel (Landkreis Diepholz);1194;31,08;38
32555408019;Heinsen;715;18,62;38
32555409036;Wangelnstedt;575;15,19;38
32565409013;Hilgermissen;2075;54,41;38
33525411025;Ihlienworth;1535;40,28;38
33555405006;Barnstedt;744;19,77;38
33555406038;Vastorf;833;21,97;38
33575407053;Westertimke;455;12,04;38
33585403010;Gilten;1259;33,54;38
33595409015;Engelschoff;756;19,68;38
33595409019;Großenwörden;472;12,35;38
33605404024;Suhlendorf;2337;61,33;38
34585401006;Groß Ippener;1064;28,18;38
34625401002;Dunum;1028;26,84;38
34625401010;Neuharlingersiel;927;24,55;38
34625401017;Werdum;692;18,45;38
71315001028;Herschbroich;278;7,27;38
71315001072;Rodder;242;6,38;38
71325010097;Rott;377;9,8;38
71325010114;Werkhausen;221;5,77;38
71335010053;Kirschroth;294;7,64;38
71345002031;Gollenberg (Landkreis Birkenfeld);122;3,25;38
71345005077;Schmidthachenbach;379;10,05;38
71355003008;Beuren (Landkreis Cochem-Zell);401;10,67;38
71355003089;Weiler (Landkreis Cochem-Zell);280;7,33;38
71405009201;Beulich;503;13,28;38
72315006017;Burtscheid;115;2,99;38
72315008100;Oberöfflingen;283;7,44;38
72315009501;Irmenach;629;16,38;38
72325006224;Giesdorf;136;3,55;38
72325006231;Habscheid;662;17,6;38
72325008101;Orsfeld;195;5,17;38
72335004224;Lirstal;202;5,26;38
72355008081;Mandern;901;23,95;38
73335004040;Kriegsfeld;993;26,41;38
73335007078;Unkenbach;195;5,12;38
81280020020;Creglingen, Stadt;4504;117,23;38
83375006027;Dachsberg (Südschwarzwald);1365;35,6;38
91760164164;Titting, M;2729;71,11;38
93710120120;Ensdorf (Landkreis Amberg-Sulzbach);2146;56,11;38
93710132132;Kastl, M;2483;64,88;38
93715302128;Hirschbach;1194;31,03;38
93715304131;Illschwang;2038;54,22;38
93740137137;Moosbach, M;2457;64,3;38
93765345164;Schwarzhofen, M;1381;36,11;38
94725415156;Kirchenpingarten;1262;33,54;38
95715501205;Steinsfeld;1223;31,8;38
96755614116;Castell;866;22,92;38
97805742131;Obermaiselstein;950;25,01;38
120666000000;Altdöbern;2358;61,54;38
120710000000;Drebkau, Stadt;5424;143,9;38
10545453152;Wester-Ohrstedt;1078;18,54;58
10545489073;Ladelund;1405;24,09;58
10545489126;Stedesand;876;15,19;58
10565690037;Neuendeich;496;8,54;58
10575755039;Köhn;757;13,15;58
10585888146;Schülldorf;753;12,99;58
10595993039;Hollingstedt (Kreis Schleswig-Flensburg);1015;17,51;58
10605005031;Hagen;476;8,2;58
10605086059;Negernbötel;981;16,97;58
32565410016;Husum;2336;40,01;58
33610005005;Kirchlinteln;10096;174,68;58
34540044044;Rhede (Ems);4314;74,98;58
34545403026;Lähden;4612;79,89;58
34565401009;Hoogstede;2880;49,78;58
34625401015;Stedesdorf;1619;27,94;58
65350008008;Herbstein, Stadt;4603;79,98;58
71315001066;Quiddelbach;259;4,43;58
71315002040;Kirchsahr;353;6,1;58
71315004201;Brenk;180;3,09;58
71335006027;Duchroth;560;9,68;58
71375003014;Boos (Landkreis Mayen-Koblenz);604;10,38;58
71375003019;Ditscheid;261;4,48;58
71405008003;Argenthal;1657;28,59;58
71405008008;Belgweiler;197;3,39;58
71405008023;Budenbach;202;3,51;58
71405009075;Kratzenburg;408;7,07;58
71415003062;Horhausen;316;5,46;58
71415003076;Langenscheid;514;8,93;58
71415007067;Kasdorf;234;4,06;58
71435002258;Linden (Landkreis Westerwaldkreis);146;2,52;58
71435007085;Wölferlingen;478;8,25;58
72315006122;Talling;228;3,9;58
72325001213;Daleiden;901;15,59;58
72325008118;Schleid;363;6,24;58
72325008125;Sülm;406;7,05;58
73365008013;Cronenberg;154;2,65;58
81365003018;Ellenberg (Landkreis Ostalbkreis);1754;30,19;58
81365009068;Stödtlen;1797;31,18;58
83265002020;Gütenbach;1069;18,49;58
84255008085;Nerenstetten;356;6,09;58
