Kreisnummer;Kreisname;Haushaltseinkommen (1000€)
1001000;Flensburg, Stadt;20,17
1002000;Kiel, Landeshauptstadt;22,2
1003000;Lübeck, Hansestadt;23,38
1004000;Neumünster, Stadt;22,55
1051000;Dithmarschen;27,07
1053000;Herzogtum Lauenburg;26,99
1054000;Nordfriesland;30,43
1055000;Ostholstein;27,72
1056000;Pinneberg;28,05
1057000;Plön;27,19
1058000;Rendsburg-Eckernförde;27,53
1059000;Schleswig-Flensburg;25,77
1060000;Segeberg;26,77
1061000;Steinburg;25,49
1062000;Stormarn;29,78
2000000;Hamburg, Freie und Hansestadt;28,1
3101000;Braunschweig, Stadt;24,89
3102000;Salzgitter, Stadt;21,52
3103000;Wolfsburg, Stadt;26,04
3151000;Gifhorn;27,11
3153000;Goslar;25,23
3154000;Helmstedt;26,38
3155000;Northeim;26,78
3157000;Peine;24,99
3158000;Wolfenbüttel;25,78
3159000;Göttingen;23,72
3241000;Region Hannover;24,76
3251000;Diepholz;26,93
3252000;Hameln-Pyrmont;24,48
3254000;Hildesheim;25,02
3255000;Holzminden;25,54
3256000;Nienburg (Weser);24,68
3257000;Schaumburg;25,24
3351000;Celle;24,67
3352000;Cuxhaven;25,47
3353000;Harburg;28,47
3354000;Lüchow-Dannenberg;24,92
3355000;Lüneburg;25,36
3356000;Osterholz;26,49
3357000;Rotenburg (Wümme);26,47
3358000;Heidekreis;23,77
3359000;Stade;26,31
3360000;Uelzen;25,2
3361000;Verden;26,77
3401000;Delmenhorst, Stadt;20,5
3402000;Emden, Stadt;21,05
3403000;Oldenburg (Oldenburg), Stadt;22,6
3404000;Osnabrück, Stadt;23,92
3405000;Wilhelmshaven, Stadt;20,45
3451000;Ammerland;25,67
3452000;Aurich;24,15
3453000;Cloppenburg;24,45
3454000;Emsland;25,56
3455000;Friesland;24,18
3456000;Grafschaft Bentheim;23,54
3457000;Leer;23,31
3458000;Oldenburg;26,97
3459000;Osnabrück;26,49
3460000;Vechta;26,41
3461000;Wesermarsch;24,75
3462000;Wittmund;25,53
4011000;Bremen, Stadt;24,11
4012000;Bremerhaven, Stadt;19,3
5111000;Düsseldorf, Stadt;29,83
5112000;Duisburg, Stadt;19,21
5113000;Essen, Stadt;23,9
5114000;Krefeld, Stadt;23,64
5116000;Mönchengladbach, Stadt;23,28
5117000;Mülheim an der Ruhr, Stadt;25,8
5119000;Oberhausen, Stadt;20,91
5120000;Remscheid, Stadt;23,76
5122000;Solingen, Klingenstadt;24,69
5124000;Wuppertal, Stadt;22,71
5154000;Kleve;23,83
5158000;Mettmann;28,07
5162000;Rhein-Kreis Neuss;27,9
5166000;Viersen;26,87
5170000;Wesel;25,7
5314000;Bonn, Stadt;26,81
5315000;Köln, Stadt;27,11
5316000;Leverkusen, Stadt;24,13
5334000;Städteregion Aachen;22,37
5358000;Düren;23,73
5362000;Rhein-Erft-Kreis;25,72
5366000;Euskirchen;24,4
5370000;Heinsberg;23,64
5374000;Oberbergischer Kreis;25,55
5378000;Rheinisch-Bergischer Kreis;29,66
5382000;Rhein-Sieg-Kreis;27,24
5512000;Bottrop, Stadt;23,43
5513000;Gelsenkirchen, Stadt;18,31
5515000;Münster, Stadt;27,28
5554000;Borken;26,52
5558000;Coesfeld;27,44
5562000;Recklinghausen;23,13
5566000;Steinfurt;26,15
5570000;Warendorf;27,01
5711000;Bielefeld, Stadt;25,06
5754000;Gütersloh;28,62
5758000;Herford;26,12
5762000;Höxter;26,15
5766000;Lippe;25
5770000;Minden-Lübbecke;25,39
5774000;Paderborn;24,91
5911000;Bochum, Stadt;22,95
5913000;Dortmund, Stadt;21,58
5914000;Hagen, Stadt der FernUniversität;21,41
5915000;Hamm, Stadt;21,3
5916000;Herne, Stadt;20,46
5954000;Ennepe-Ruhr-Kreis;27,87
5958000;Hochsauerlandkreis;27,54
5962000;Märkischer Kreis;25,82
5966000;Olpe;29,38
5970000;Siegen-Wittgenstein;26,84
5974000;Soest;26,23
5978000;Unna;24,18
6411000;Darmstadt, Wissenschaftsstadt;25,38
6412000;Frankfurt am Main, Stadt;26,03
6413000;Offenbach am Main, Stadt;20,62
6414000;Wiesbaden, Landeshauptstadt;26,02
6431000;Bergstraße;27,19
6432000;Darmstadt-Dieburg;27,48
6433000;Groß-Gerau;24,46
6434000;Hochtaunuskreis;35,55
6435000;Main-Kinzig-Kreis;27,49
6436000;Main-Taunus-Kreis;30,92
6437000;Odenwaldkreis;25,48
6438000;Offenbach;27,15
6439000;Rheingau-Taunus-Kreis;28,89
6440000;Wetteraukreis;27,61
6531000;Gießen;24,07
6532000;Lahn-Dill-Kreis;25,17
6533000;Limburg-Weilburg;25,74
6534000;Marburg-Biedenkopf;24,55
6535000;Vogelsbergkreis;25,96
6611000;Kassel, documenta-Stadt;22,79
6631000;Fulda;26,28
6632000;Hersfeld-Rotenburg;25,03
6633000;Kassel;26,47
6634000;Schwalm-Eder-Kreis;25,24
6635000;Waldeck-Frankenberg;25,57
6636000;Werra-Meißner-Kreis;23,99
7111000;Koblenz, kreisfreie Stadt;23,97
7131000;Ahrweiler;27,36
7132000;Altenkirchen (Westerwald);24,49
7133000;Bad Kreuznach;24,19
7134000;Birkenfeld;23,18
7135000;Cochem-Zell;25,24
7137000;Mayen-Koblenz;25,68
7138000;Neuwied;25,45
7140000;Rhein-Hunsrück-Kreis;26,33
7141000;Rhein-Lahn-Kreis;24,52
7143000;Westerwaldkreis;26,86
7211000;Trier, kreisfreie Stadt;25,95
7231000;Bernkastel-Wittlich;25,91
7232000;Eifelkreis Bitburg-Prüm;25,81
7233000;Vulkaneifel;25,93
7235000;Trier-Saarburg;27,17
7311000;Frankenthal (Pfalz), kreisfreie Stadt;24,49
7312000;Kaiserslautern, kreisfreie Stadt;21,63
7313000;Landau in der Pfalz, kreisfreie Stadt;24,27
7314000;Ludwigshafen am Rhein, kreisfreie Stadt;22,05
7315000;Mainz, kreisfreie Stadt;24,42
7316000;Neustadt an der Weinstraße, kreisfreie Stadt;29,77
7317000;Pirmasens, kreisfreie Stadt;21,86
7318000;Speyer, kreisfreie Stadt;28,3
7319000;Worms, kreisfreie Stadt;22,79
7320000;Zweibrücken, kreisfreie Stadt;23,64
7331000;Alzey-Worms;26,35
7332000;Bad Dürkheim;30,13
7333000;Donnersbergkreis;25,42
7334000;Germersheim;25,67
7335000;Kaiserslautern;24,2
7336000;Kusel;23,82
7337000;Südliche Weinstraße;27,42
7338000;Rhein-Pfalz-Kreis;30,13
7339000;Mainz-Bingen;29,76
7340000;Südwestpfalz;27,4
8111000;Stuttgart, Stadtkreis;30,04
8115000;Böblingen;28,64
8116000;Esslingen;28,08
8117000;Göppingen;28,92
