Gemeindeschlüsselnummer;Gemeindename;Personenanzahl
10515163012;Buchholz (Kreis Dithmarschen);2,2
10515163024;Eddelak;2,2
10515163064;Kuden;2,2
10515163089;Quickborn;2,2
10515166021;Diekhusen-Fahrstedt;2,2
10515166057;Kaiser-Wilhelm-Koog;2,2
10515166062;Kronprinzenkoog;2,2
10515169023;Dörpling;2,2
10515169030;Fedderingen;2,2
10515169061;Krempel;2,2
10515169088;Pahlen;2,2
10515169092;Rehm-Flehde-Bargen;2,2
10515169096;Sankt Annen;2,2
10515169100;Schalkholz;2,2
10515169125;Welmbüttel;2,2
10515169136;Wrohm;2,2
10515172075;Neuenkirchen (Kreis Dithmarschen);2,2
10515172082;Nordhastedt;2,2
10515172107;Stelle-Wittenwurth;2,2
10515172122;Weddingstedt;2,2
10515172130;Wesseln;2,2
10515175002;Arkebek;2,2
10515175078;Nindorf (Kreis Dithmarschen);2,2
10515175086;Osterrade;2,2
10515175134;Windbergen;2,2
10515178079;Norddeich;2,2
10515178109;Süderdeich;2,2
10530116116;Schwarzenbek, Stadt;2,2
10535308075;Krummesse;2,2
10535308094;Niendorf bei Berkenthin;2,2
10535308103;Rondeshagen;2,2
10535313056;Hornbek;2,2
10535318080;Langenlehsten;2,2
10535318104;Roseburg;2,2
10535318132;Witzeeze;2,2
10535343022;Dalldorf;2,2
10535343058;Juliusburg;2,2
10535343074;Krukow (Kreis Herzogtum Lauenburg);2,2
10535343111;Schnakenbek;2,2
10535358041;Groß Grönau;2,2
10535358054;Hollenbek;2,2
10535358057;Horst;2,2
10535373021;Dahmker;2,2
10535391025;Duvensee;2,2
10535391038;Grinau;2,2
10535391069;Koberg;2,2
10535391081;Lankau;2,2
10535391096;Nusse;2,2
10535391101;Ritzerau;2,2
10535391121;Sirksfelde;2,2
10535391124;Stubben (Kreis Herzogtum Lauenburg);2,2
10535391130;Wentorf (Amt Sandesneben);2,2
10545453003;Ahrenviöl;2,2
10545453004;Ahrenviölfeld;2,2
10545453011;Behrendorf;2,2
10545453041;Haselund;2,2
10545453057;Immenstedt (Kreis Nordfriesland);2,2
10545453118;Schwesing;2,2
10545453144;Viöl;2,2
10545453152;Wester-Ohrstedt;2,2
10545489001;Achtrup;2,2
10545489055;Humptrup;2,2
10545489068;Klixbüll;2,2
10545489110;Rodenäs;2,2
10545489125;Stadum;2,2
10545489154;Westre;2,2
10545489165;Galmsbüll;2,2
10545489166;Emmelsbüll-Horsbüll;2,2
10545492007;Arlewatt;2,2
10545492042;Hattstedt;2,2
10545492054;Hude;2,2
10545492084;Mildstedt;2,2
10545492096;Oldersbek;2,2
10545492119;Seeth;2,2
10545492120;Simonsberg;2,2
10545492141;Uelvesbüll;2,2
10545492159;Wittbek;2,2
10545492162;Wobbenbüll;2,2
10545494002;Ahrenshöft;2,2
10545494020;Breklum;2,2
10545494080;Lütjenholm;2,2
10545494128;Struckum;2,2
10545494146;Vollstedt;2,2
10550041041;Süsel;2,2
10555543014;Göhl;2,2
10555543015;Gremersdorf;2,2
10555546011;Damlos;2,2
10555546029;Manhagen;2,2
10555591002;Altenkrempe;2,2
10555591038;Schönwalde am Bungsberg;2,2
10565616045;Seestermühe;2,2
10565636010;Brande-Hörnerkirchen;2,2
10565636051;Westerhorn;2,2
10565660004;Bilsen;2,2
10565660034;Langeln;2,2
10565687009;Borstel-Hohenraden;2,2
10565687013;Ellerbek;2,2
10565690024;Heist;2,2
10565690027;Hetlingen;2,2
10565690028;Holm;2,2
10565690036;Moorrege;2,2
10565690037;Neuendeich;2,2
10570001001;Ascheberg (Holstein);2,2
10570009009;Bösdorf;2,2
10575727076;Schwartbuck;2,2
10575739045;Lebrade;2,2
10575739065;Rantzau;2,2
10575747010;Boksee;2,2
10575747037;Klein Barkau;2,2
10575747042;Kühren;2,2
10575747046;Lehmkuhlen;2,2
10575747047;Löptin;2,2
10575747054;Nettelsee;2,2
10575747059;Postfeld;2,2
10575747066;Rastorf;2,2
10575755003;Barsbek;2,2
10575755012;Brodersdorf;2,2
10575755020;Fiefbergen;2,2
10575755063;Probsteierhagen;2,2
10575775072;Schlesen;2,2
10575785068;Rendswühren;2,2
10585803050;Felde;2,2
10585822116;Noer;2,2
10585824058;Gettorf;2,2
10585833003;Alt Duvenstedt;2,2
10585847010;Bargstall;2,2
10585847047;Elsdorf-Westermühlen;2,2
10585847070;Hamdorf;2,2
10585853086;Jevenstedt;2,2
10585853101;Luhnstedt;2,2
10585859018;Blumenthal;2,2
10585859107;Molfsee;2,2
10585859139;Rumohr;2,2
10585864021;Bokel (Kreis Rendsburg-Eckernförde);2,2
10585864038;Dätgen;2,2
10585864046;Ellerdorf;2,2
10585864091;Krogaspe;2,2
10585864147;Schülp b. Nortorf;2,2
10585888026;Bovenau;2,2
10585888132;Rade b. Rendsburg;2,2
10585889016;Bissee;2,2
10585889064;Groß Buchwald;2,2
10585889170;Wattenbek;2,2
10585890066;Groß Wittensee;2,2
10585890083;Hütten (Kreis Rendsburg-Eckernförde);2,2
10585890123;Osterby (Kreis Rendsburg-Eckernförde);2,2
10585890127;Owschlag;2,2
10585893052;Fleckeby;2,2
10585893057;Gammelby;2,2
10585893067;Güby;2,2
10585893099;Loose;2,2
10585893102;Goosefeld;2,2
10585895007;Arpsdorf;2,2
10585895009;Aukrug;2,2
10585895013;Beldorf;2,2
10585895025;Bornholt;2,2
10585895062;Grauel;2,2
10585895074;Heinkenborstel;2,2
10585895119;Oldenbüttel;2,2
10585895134;Remmels;2,2
10585895164;Todenbüttel;2,2
10585895167;Wapelfeld;2,2
10590183183;Handewitt;2,2
10595912128;Janneby;2,2
10595912174;Wanderup;2,2
10595915018;Busdorf;2,2
10595915019;Dannewerk;2,2
10595915026;Fahrdorf;2,2
10595915078;Selk;2,2
10595919101;Tastrup;2,2
10595919116;Großsolt;2,2
10595919126;Hürup;2,2
10595919127;Husby;2,2
10595919182;Freienwill;2,2
10595937145;Munkbrarup;2,2
10595940184;Oeversee;2,2
10595949185;Mittelangeln;2,2
10595952115;Großenwiehe;2,2
10595952123;Hörup;2,2
10595952124;Holt;2,2
10595952143;Medelby;2,2
10595952151;Osterby (Kreis Schleswig-Flensburg);2,2
10595952177;Weesby;2,2
10595952179;Lindewitt;2,2
10595974006;Böel;2,2
10595974060;Mohrkirch;2,2
10595974063;Norderbrarup;2,2
10595974070;Rügge;2,2
10595974080;Steinfeld (Kreis Schleswig-Flensburg);2,2
10595987008;Böklund;2,2
10595987042;Idstedt;2,2
10595987062;Neuberend;2,2
10595987081;Stolk;2,2
10595987082;Struxdorf;2,2
10595987084;Süderfahrenstedt;2,2
10595990109;Esgrus;2,2
10595990121;Hasselberg;2,2
10595990154;Rabel;2,2
10595990155;Rabenholz;2,2
10595993010;Bollingstedt;2,2
10595993023;Ellingstedt;2,2
10595993041;Hüsby;2,2
10595993044;Jübek;2,2
10595993057;Lürschau;2,2
10595993077;Schuby;2,2
10595993092;Treia;2,2
10595996096;Wohlde;2,2
10600004004;Bad Bramstedt, Stadt;2,2
10600019019;Ellerau;2,2
10600039039;Henstedt-Ulzburg;2,2
10605005023;Fuhlendorf (Kreis Segeberg);2,2
10605005027;Großenaspe;2,2
10605024017;Damsdorf;2,2
10605034046;Kayhude;2,2
10605034058;Nahe;2,2
10605034085;Sülfeld;2,2
10605043002;Alveslohe;2,2
10605043034;Hartenholm;2,2
10605048077;Sievershütten;2,2
10605048084;Stuvenborn;2,2
10605048094;Wakendorf II;2,2
10605048100;Winsen;2,2
10605053053;Leezen (Kreis Segeberg);2,2
10605053062;Neversdorf;2,2
10605053101;Wittenborn;2,2
10605063016;Daldorf;2,2
10605063028;Groß Kummerfeld;2,2
10605086010;Blunk;2,2
10605086025;Glasau;2,2
10605086030;Groß Rönnau;2,2
10605086090;Travenhorst;2,2
10605086091;Traventhal;2,2
10615104017;Breitenburg;2,2
10615104058;Kronsmoor;2,2
10615134004;Altenmoor;2,2
10615134037;Herzhorn;2,2
10615134074;Neuendorf b. Elmshorn;2,2
10615138039;Hodorf;2,2
10615138083;Ottenbüttel;2,2
10615153056;Kremperheide;2,2
10615153057;Krempermoor;2,2
10615153073;Neuenbrook;2,2
10615153092;Rethwisch (Kreis Steinburg);2,2
10615153104;Süderau;2,2
10615168003;Agethorst;2,2
10615168011;Besdorf;2,2
10615168021;Christinenthal;2,2
10615168031;Gribbohm;2,2
10615168043;Holstenniendorf;2,2
10615168076;Nienbüttel;2,2
10615168078;Nutteln;2,2
10615168087;Puls;2,2
10615168091;Reher;2,2
10615168105;Vaale;2,2
10615179020;Büttel;2,2
10615179062;Landrecht;2,2
10615179119;Neuendorf-Sachsenbande;2,2
10615189080;Oeschebüttel;2,2
10615189086;Poyenberg;2,2
10615189088;Quarnstedt;2,2
10615189089;Rade;2,2
10615189093;Rosdorf (Kreis Steinburg);2,2
10615189103;Störkathen;2,2
10620009009;Barsbüttel;2,2
10620076076;Tangstedt (Kreis Stormarn);2,2
10620090090;Ammersbek;2,2
10625207089;Lasbek;2,2
10625207091;Steinburg;2,2
10625218036;Jersbek;2,2
10625218078;Todendorf;2,2
10625244003;Badendorf;2,2
10625244032;Heilshoop;2,2
10625244083;Westerau;2,2
10625244087;Zarpen;2,2
10625262071;Stapelfeld;2,2
10625262088;Brunsbek;2,2
10625270021;Grönwohld;2,2
10625270022;Großensee (Kreis Stormarn);2,2
31515401002;Barwedel;2,2
31515401020;Osloß;2,2
31515402005;Brome, Flecken;2,2
31515403007;Dedelstorf;2,2
31515403019;Obernholz;2,2
31515403028;Sprakensehl;2,2
31515403029;Steinhorst (Landkreis Gifhorn);2,2
31515404013;Isenbüttel;2,2
31515405018;Müden (Aller);2,2
31515406016;Meine;2,2
31515406034;Vordorf;2,2
31545401016;Querenhorst;2,2
31545402027;Söllingen;2,2
31545403021;Süpplingen;2,2
31545403022;Süpplingenburg;2,2
31545404001;Bahrdorf;2,2
31550007007;Katlenburg-Lindau;2,2
31570001001;Edemissen;2,2
31570006006;Peine, Stadt;2,2
31570007007;Vechelde;2,2
31570008008;Wendeburg;2,2
31570009009;Ilsede;2,2
31580006006;Cremlingen;2,2
31585402004;Burgdorf;2,2
31585402016;Haverlah;2,2
31585402028;Sehlde;2,2
31585403005;Cramme;2,2
31585403014;Flöthe;2,2
31585403019;Heiningen (Landkreis Wolfenbüttel);2,2
31585403038;Börßum;2,2
31585406009;Dettum;2,2
31585406013;Evessen;2,2
31585406030;Sickte;2,2
31585407007;Dahlum;2,2
31585407008;Denkte;2,2
31585407021;Kissenbrück;2,2
31585407022;Kneitlingen;2,2
31585407031;Uehrde;2,2
31585407032;Vahlberg;2,2
31585407040;Remlingen-Semmenstedt;2,2
31590010010;Duderstadt, Stadt;2,2
31595401031;Scheden;2,2
31595402014;Gieboldehausen, Flecken;2,2
31595402030;Rüdershausen;2,2
31595402038;Wollershausen;2,2
31595403018;Hattorf am Harz;2,2
31595404011;Ebergötzen;2,2
31595404035;Waake;2,2
32410008008;Isernhagen;2,2
32410013013;Pattensen, Stadt;2,2
32410016016;Sehnde, Stadt;2,2
32410018018;Uetze;2,2
32410019019;Wedemark;2,2
32510007007;Bassum, Stadt;2,2
32510041041;Syke, Stadt;2,2
32515401025;Marl;2,2
32515402005;Barnstorf, Flecken;2,2
32520007007;Hessisch Oldendorf, Stadt;2,2
32540003003;Algermissen;2,2
32540020020;Harsum;2,2
32540022022;Holle;2,2
32540029029;Schellerten;2,2
32540032032;Söhlde;2,2
32540045045;Sibbesse;2,2
32555401015;Golmbach;2,2
32555401021;Holenberg;2,2
32555401030;Negenborn;2,2
32555408020;Heyen;2,2
32555408031;Ottenstein, Flecken;2,2
32555409010;Dielmissen;2,2
32555409018;Heinade;2,2
32560025025;Rehburg-Loccum, Stadt;2,2
32560030030;Steyerberg, Flecken;2,2
32565407020;Linsburg;2,2
32565407031;Stöckse;2,2
32565409003;Bücken, Flecken;2,2
32565409007;Eystrup;2,2
32565409008;Gandesbergen;2,2
32565410016;Husum;2,2
32565410017;Landesbergen;2,2
32565410018;Leese;2,2
32565410032;Stolzenau;2,2
32565411001;Balge;2,2
32565411019;Liebenau, Flecken;2,2
32565411021;Marklohe;2,2
32570003003;Auetal;2,2
32575402007;Beckedorf;2,2
32575403036;Suthfeld;2,2
32575404025;Niedernwöhren;2,2
32575404030;Pollhagen;2,2
32575405013;Helpsen;2,2
32575405026;Nienstädt;2,2
32575406002;Apelern;2,2
32575406017;Hülsede;2,2
32575407004;Auhagen;2,2
32575407010;Hagenburg, Flecken;2,2
32575407033;Sachsenhagen, Stadt;2,2
32575407038;Wölpinghausen;2,2
33510012012;Hambühren;2,2
33515402005;Bröckel;2,2
33515403008;Eldingen;2,2
33515403015;Hohne;2,2
33515403016;Lachendorf;2,2
33515404021;Wathlingen;2,2
33519501501;Lohheide, gemfr. Bezirk;2,2
33520050050;Schiffdorf;2,2
33520059059;Beverstedt;2,2
33520060060;Hagen im Bremischen;2,2
33525404029;Lamstedt;2,2
33525407020;Hechthausen;2,2
33525411008;Bülkau;2,2
33525411025;Ihlienworth;2,2
33525411038;Neuenkirchen;2,2
33525411041;Nordleda;2,2
33525411043;Odisheim;2,2
33525411055;Wanna;2,2
33530026026;Neu Wulmstorf;2,2
33530029029;Rosengarten (Landkreis Harburg);2,2
33530032032;Stelle;2,2
33535401007;Drage (Landkreis Harburg);2,2
33535401023;Marschacht;2,2
33535402009;Egestorf;2,2
33535402024;Marxen;2,2
33535403001;Appel;2,2
33535403028;Regesbostel;2,2
33535404003;Bendestorf;2,2
33535405011;Garlstorf;2,2
33535405012;Garstedt;2,2
33535405034;Toppenstedt;2,2
33535405037;Vierhöfen;2,2
33545406003;Damnatz;2,2
33545406008;Gusborn;2,2
33545406011;Jameln;2,2
33545406012;Karwitz;2,2
33545407013;Küsten;2,2
33555401034;Soderstorf;2,2
33555402039;Vögelsen;2,2
33555403012;Dahlem (Landkreis Lüneburg);2,2
33555405014;Deutsch Evern;2,2
33555405024;Melbeck;2,2
33555406026;Neetze;2,2
33555406038;Vastorf;2,2
33555406040;Wendisch Evern;2,2
33555407003;Artlenburg, Flecken;2,2
33560005005;Lilienthal;2,2
33560008008;Ritterhude;2,2
33560009009;Schwanewede;2,2
33565401001;Axstedt;2,2
33565401003;Hambergen;2,2
33565401004;Holste;2,2
33565401010;Vollersode;2,2
33570016016;Gnarrenburg;2,2
33570041041;Scheeßel;2,2
33575401024;Hemsbünde;2,2
33575401031;Kirchwalsede;2,2
33575402033;Lauenbrück;2,2
33575403002;Alfstedt;2,2
33575403012;Ebersdorf;2,2
33575403027;Hipstedt;2,2
33575404042;Seedorf (Landkreis Rotenburg (Wümme));2,2
33575405050;Vierden;2,2
33575406001;Ahausen;2,2
33575406022;Hellwege;2,2
33575406045;Sottrum;2,2
33575407047;Tarmstedt;2,2
33575407055;Wilstedt;2,2
33580002002;Bispingen;2,2
33580017017;Neuenkirchen (Landkreis Soltau-Fallingbostel);2,2
33585401006;Eickeloh;2,2
33585401011;Grethem;2,2
33585402018;Rethem (Aller), Stadt;2,2
33585403007;Essel;2,2
33585403010;Gilten;2,2
33585403015;Lindwedel;2,2
33585403020;Schwarmstedt;2,2
33590013013;Drochtersen;2,2
33590028028;Jork;2,2
33595402017;Fredenbeck;2,2
33595402031;Kutenholz;2,2
33595403023;Harsefeld, Flecken;2,2
33595405012;Dollern;2,2
33595406021;Guderhandviertel;2,2
33595406026;Hollern-Twielenfleth;2,2
33595406032;Mittelnkirchen;2,2
33595407004;Balje;2,2
33595409016;Estorf;2,2
33595409019;Großenwörden;2,2
33605404018;Rosche;2,2
33605404022;Stoetze;2,2
33605405007;Eimke;2,2
33605405009;Gerdau;2,2
33605407010;Hanstedt;2,2
33605407026;Weste;2,2
33605407029;Wriedel;2,2
33605408013;Lüder;2,2
33610006006;Langwedel, Flecken;2,2
33615401002;Blender;2,2
34510001001;Apen;2,2
34510005005;Rastede;2,2
34520006006;Großefehn;2,2
34520007007;Großheide;2,2
34520011011;Hinte;2,2
34520023023;Südbrookmerland;2,2
34525401021;Osteel;2,2
34525401022;Rechtsupweg;2,2
34525401026;Wirdum;2,2
34525403016;Lütetsburg;2,2
34540035035;Meppen, Stadt;2,2
34540041041;Papenburg, Stadt;2,2
34545401008;Dörpen;2,2
34560001001;Bad Bentheim, Stadt;2,2
34570012012;Jemgum;2,2
34570014014;Moormerland;2,2
34570017017;Ostrhauderfehn;2,2
34570018018;Rhauderfehn;2,2
34570021021;Weener, Stadt;2,2
34570024024;Bunde;2,2
34575402010;Hesel;2,2
34575403006;Detern, Flecken;2,2
34580003003;Dötlingen;2,2
34580005005;Ganderkesee;2,2
34580009009;Hatten;2,2
34580010010;Hude (Oldb);2,2
34580013013;Wardenburg;2,2
34580014014;Wildeshausen, Stadt;2,2
34585401006;Groß Ippener;2,2
34585401011;Kirchseelte;2,2
34585401015;Winkelsett;2,2
34590014014;Bramsche, Stadt;2,2
34590019019;Georgsmarienhütte, Stadt;2,2
34590020020;Hagen am Teutoburger Wald;2,2
34590021021;Hasbergen;2,2
34590033033;Wallenhorst;2,2
34595403017;Fürstenau, Stadt;2,2
34610001001;Berne;2,2
34610005005;Jade;2,2
34610008008;Ovelgönne;2,2
34620005005;Friedeburg;2,2
34620014014;Spiekeroog;2,2
34625401002;Dunum;2,2
34625401006;Holtgast;2,2
34625402001;Blomberg;2,2
34625402009;Nenndorf;2,2
34625402018;Westerholt;2,2
51540004004;Bedburg-Hau;2,2
51540020020;Issum;2,2
51540024024;Kalkar, Stadt;2,2
51540028028;Kerken;2,2
51540040040;Kranenburg (Kreis Kleve);2,2
51540044044;Rees, Stadt;2,2
51540056056;Uedem;2,2
51540060060;Wachtendonk;2,2
51620004004;Dormagen, Stadt;2,2
51620012012;Jüchen, Stadt;2,2
51620020020;Korschenbroich, Stadt;2,2
51620028028;Rommerskirchen;2,2
51660020020;Niederkrüchten;2,2
51700004004;Alpen;2,2
51700012012;Hamminkeln, Stadt;2,2
51700016016;Hünxe;2,2
51700036036;Schermbeck;2,2
51700040040;Sonsbeck;2,2
53340004004;Alsdorf, Stadt;2,2
53340024024;Roetgen, Tor zur Eifel;2,2
53340028028;Simmerath;2,2
53580016016;Hürtgenwald;2,2
53580020020;Inden;2,2
53580028028;Kreuzau;2,2
53580032032;Langerwehe;2,2
53580040040;Merzenich;2,2
53580044044;Nideggen, Stadt;2,2
53580056056;Titz;2,2
53620004004;Bedburg, Stadt;2,2
53620008008;Bergheim, Stadt;2,2
53620016016;Elsdorf, Stadt;2,2
53620032032;Kerpen, Kolpingstadt;2,2
53620036036;Pulheim, Stadt;2,2
53620040040;Wesseling, Stadt;2,2
53660008008;Blankenheim (Kreis Euskirchen);2,2
53660028028;Mechernich, Stadt;2,2
53660032032;Nettersheim;2,2
53660044044;Zülpich, Stadt;2,2
53700004004;Erkelenz, Stadt;2,2
53700012012;Geilenkirchen, Stadt;2,2
53700020020;Hückelhoven, Stadt;2,2
53700028028;Übach-Palenberg, Stadt;2,2
53700036036;Wassenberg, Stadt;2,2
53700040040;Wegberg, Stadt;2,2
53740004004;Bergneustadt, Stadt;2,2
53740020020;Lindlar;2,2
53740028028;Morsbach;2,2
53740032032;Nümbrecht;2,2
53740048048;Wiehl, Stadt;2,2
53740052052;Wipperfürth, Hansestadt;2,2
53780008008;Burscheid, Stadt;2,2
53780012012;Kürten;2,2
53780020020;Odenthal;2,2
53780024024;Overath, Stadt;2,2
53820004004;Alfter;2,2
53820020020;Hennef (Sieg), Stadt;2,2
53820028028;Lohmar, Stadt;2,2
53820032032;Meckenheim, Stadt;2,2
53820040040;Neunkirchen-Seelscheid;2,2
53820044044;Niederkassel, Stadt;2,2
53820072072;Wachtberg;2,2
53820076076;Windeck;2,2
55540008008;Bocholt, Stadt;2,2
55540012012;Borken, Stadt;2,2
55580012012;Coesfeld, Stadt;2,2
55580016016;Dülmen, Stadt;2,2
55580020020;Havixbeck;2,2
55580024024;Lüdinghausen, Stadt;2,2
55580036036;Olfen, Stadt;2,2
55660012012;Greven, Stadt;2,2
55660028028;Ibbenbüren, Stadt;2,2
55660032032;Ladbergen;2,2
55660040040;Lengerich, Stadt;2,2
55660048048;Lotte;2,2
