Gemeindeschlüsselnummer;Gemeindename;€/m²
10010000000;Flensburg, Stadt;6,96
10020000000;Kiel, Landeshauptstadt;7,64
10030000000;Lübeck, Hansestadt;7,47
10040000000;Neumünster, Stadt;6,22
10510011011;Brunsbüttel, Stadt;5,74
10510044044;Heide, Stadt;6,68
10515163003;Averlak;5,12
10515163010;Brickeln;5,73
10515163012;Buchholz (Kreis Dithmarschen);5
10515163016;Burg (Dithmarschen);5,67
10515163022;Dingen;5,89
10515163024;Eddelak;4,83
10515163026;Eggstedt;4,97
10515163032;Frestedt;5,12
10515163037;Großenrade;4,9
10515163051;Hochdonn;5,09
10515163064;Kuden;4,95
10515163089;Quickborn;4,88
10515163097;Sankt Michaelisdonn;5,88
10515163110;Süderhastedt;5,05
10515166021;Diekhusen-Fahrstedt;6
10515166034;Friedrichskoog;6,1
10515166046;Helse;5,76
10515166057;Kaiser-Wilhelm-Koog;6,1
10515166062;Kronprinzenkoog;5,23
10515166072;Marne, Stadt;6
10515166073;Marnerdeich;5,81
10515166076;Neufeld;5,37
10515166077;Neufelderkoog;3,74
10515166090;Ramhusen;5,23
10515166103;Schmedeswurth;5,27
10515166118;Trennewurth;4,38
10515166119;Volsemenhusen;4,77
10515169005;Barkenholm;5,63
10515169008;Bergewöhrden;5,51
10515169019;Dellstedt;4,94
10515169020;Delve;4,91
10515169023;Dörpling;5,1
10515169030;Fedderingen;4,27
10515169035;Gaushorn;6,09
10515169036;Glüsing;4,48
10515169038;Groven;5,23
10515169047;Hemme;4,92
10515169049;Hennstedt (Kreis Dithmarschen);5,78
10515169052;Hövede;4,43
10515169053;Hollingstedt (Kreis Dithmarschen);5,03
10515169058;Karolinenkoog;4,51
10515169060;Kleve (Kreis Dithmarschen);4,63
10515169061;Krempel;5,04
10515169065;Lehe (Kreis Dithmarschen);5,32
10515169068;Linden (Kreis Dithmarschen);5,57
10515169071;Lunden;4,93
10515169080;Norderheistedt;5,9
10515169088;Pahlen;5,61
10515169092;Rehm-Flehde-Bargen;5,16
10515169096;Sankt Annen;4,88
10515169100;Schalkholz;5,04
10515169102;Schlichting;4,29
10515169114;Tellingstedt;5,66
10515169117;Tielenhemme;4,07
10515169120;Wallen;3,45
10515169125;Welmbüttel;4,9
10515169131;Westerborstel;4,72
10515169133;Wiemerstedt;5,04
10515169136;Wrohm;4,61
10515169139;Süderdorf;4,16
10515169141;Süderheistedt;5,08
10515172048;Hemmingstedt;5,87
10515172067;Lieth;5,53
10515172069;Lohe-Rickelshof;6,62
10515172075;Neuenkirchen (Kreis Dithmarschen);5,12
10515172081;Norderwöhrden;5,1
10515172082;Nordhastedt;6,04
10515172087;Ostrohe;6,2
10515172107;Stelle-Wittenwurth;6,14
10515172113;Wöhrden;5,31
10515172122;Weddingstedt;6,09
10515172130;Wesseln;6,36
10515175001;Albersdorf (Kreis Dithmarschen);5,71
10515175002;Arkebek;5,4
10515175004;Bargenstedt;5,55
10515175006;Barlt;4,89
10515175015;Bunsoh;5,21
10515175017;Busenwurth;4,78
10515175027;Elpersbüttel;5,8
10515175028;Epenwöhrden;6,94
10515175039;Gudendorf;5,2
10515175054;Immenstedt (Kreis Dithmarschen);4,76
10515175063;Krumstedt;5,05
10515175074;Meldorf, Stadt;5,94
10515175078;Nindorf (Kreis Dithmarschen);5,53
10515175083;Odderade;4,9
10515175085;Offenbüttel;5,07
10515175086;Osterrade;4,73
10515175098;Sarzbüttel;5,29
10515175099;Schafstedt;5,15
10515175104;Schrum;4,64
10515175126;Wennbüttel;4,77
10515175134;Windbergen;4,65
10515175135;Wolmersdorf;5,24
10515175137;Nordermeldorf;5,43
10515175138;Tensbüttel-Röst;5,59
10515178013;Büsum;7,78
10515178014;Büsumer Deichhausen;7,28
10515178033;Friedrichsgabekoog;4,66
10515178043;Hedwigenkoog;5,93
10515178045;Hellschen-Heringsand-Unterschaar;5,96
10515178050;Hillgroven;2,85
10515178079;Norddeich;5,2
10515178084;Oesterdeichstrich;5,28
10515178093;Reinsbüttel;6,28
10515178105;Schülp;5,39
10515178108;Strübbel;5,27
10515178109;Süderdeich;5,29
10515178121;Warwerort;7,11
10515178127;Wesselburen, Stadt;6,09
10515178128;Wesselburener Deichhausen;6,05
10515178129;Wesselburenerkoog;5,15
10515178132;Westerdeichstrich;7,13
10515178140;Oesterwurth;4,89
10530032032;Geesthacht, Stadt;7,93
10530083083;Lauenburg/ Elbe, Stadt;6,82
10530090090;Mölln, Stadt;6,87
10530100100;Ratzeburg, Stadt;6,87
10530116116;Schwarzenbek, Stadt;7,59
10530129129;Wentorf bei Hamburg;8,9
10535308008;Behlendorf;6,16
10535308009;Berkenthin;6,62
10535308011;Bliestorf;7,17
10535308024;Düchelsdorf;5,62
10535308034;Göldenitz;6,24
10535308061;Kastorf;6,27
10535308067;Klempau;6,72
10535308075;Krummesse;7,42
10535308094;Niendorf bei Berkenthin;5,22
10535308103;Rondeshagen;6,02
10535308120;Sierksrade;6,4
10535313002;Alt-Mölln;6,65
10535313005;Bälau;3,79
10535313013;Borstorf;7,33
10535313014;Breitenfelde;6,34
10535313037;Grambek;6,58
10535313056;Hornbek;5,9
10535313084;Lehmrade;6,31
10535313095;Niendorf/ Stecknitz;6,37
10535313113;Schretstaken;6,18
10535313125;Talkau;7,18
10535313134;Woltersdorf (Kreis Herzogtum Lauenburg);6,82
10535318010;Besenthal;4,75
10535318015;Bröthen;6,23
10535318020;Büchen;7,43
10535318029;Fitzen;5,93
10535318035;Göttin;5,84
10535318046;Gudow;6,31
10535318048;Güster;7,25
10535318064;Klein Pampau;6,19
10535318080;Langenlehsten;6,21
10535318092;Müssen;6,91
10535318104;Roseburg;6,54
10535318115;Schulendorf;6,54
10535318119;Siebeneichen;5,57
10535318126;Tramm (Kreis Herzogtum Lauenburg);6,62
10535318132;Witzeeze;7,21
10535323003;Aumühle;8,88
10535323012;Börnsen;7,99
10535323023;Dassendorf;8,44
10535323028;Escheburg;8,5
10535323050;Hamwarde;7,27
10535323053;Hohenhorn;7,6
10535323072;Kröppelshagen-Fahrendorf;7,21
10535323131;Wiershop;6,21
10535323133;Wohltorf;8,13
10535323135;Worth;7,18
10535343006;Basedow (Kreis Herzogtum Lauenburg);6,19
10535343019;Buchhorst;7,09
10535343022;Dalldorf;5,67
10535343058;Juliusburg;6,51
