Kreisnummer;Kreisname;Siedlungsfläche
1001000;Flensburg, Stadt;53,5
1002000;Kiel, Landeshauptstadt;58,78
1003000;Lübeck, Hansestadt;37,86
1004000;Neumünster, Stadt;51,81
1051000;Dithmarschen;11,28
1053000;Herzogtum Lauenburg;12,01
1054000;Nordfriesland;11,04
1055000;Ostholstein;12,41
1056000;Pinneberg;22,03
1057000;Plön;9,99
1058000;Rendsburg-Eckernförde;11,51
1059000;Schleswig-Flensburg;11,18
1060000;Segeberg;13,99
1061000;Steinburg;11,46
1062000;Stormarn;18,31
2000000;Hamburg, Freie und Hansestadt;58,47
3101000;Braunschweig, Stadt;47,1
3102000;Salzgitter, Stadt;28,59
3103000;Wolfsburg, Stadt;31,8
3151000;Gifhorn;11,24
3153000;Goslar;11,14
3154000;Helmstedt;12,47
3155000;Northeim;11,64
3157000;Peine;18,25
3158000;Wolfenbüttel;12,12
3159000;Göttingen;13,8
3241000;Region Hannover;22,53
3251000;Diepholz;12,77
3252000;Hameln-Pyrmont;14,65
3254000;Hildesheim;15,48
3255000;Holzminden;10,68
3256000;Nienburg (Weser);11,46
3257000;Schaumburg;18,17
3351000;Celle;11,99
3352000;Cuxhaven;11,7
3353000;Harburg;17
3354000;Lüchow-Dannenberg;8,35
3355000;Lüneburg;11,8
3356000;Osterholz;15,63
3357000;Rotenburg (Wümme);11,17
3358000;Heidekreis;10,72
3359000;Stade;12,76
3360000;Uelzen;8,91
3361000;Verden;15,26
3401000;Delmenhorst, Stadt;49,53
3402000;Emden, Stadt;28,35
3403000;Oldenburg (Oldenburg), Stadt;59,35
3404000;Osnabrück, Stadt;50,2
3405000;Wilhelmshaven, Stadt;44,8
3451000;Ammerland;17,6
3452000;Aurich;14,92
3453000;Cloppenburg;14,31
3454000;Emsland;13,81
3455000;Friesland;16,67
3456000;Grafschaft Bentheim;14,85
3457000;Leer;15,28
3458000;Oldenburg;14,43
3459000;Osnabrück;15,1
3460000;Vechta;17,15
3461000;Wesermarsch;12,1
3462000;Wittmund;11,41
4011000;Bremen, Stadt;59,55
4012000;Bremerhaven, Stadt;47,23
5111000;Düsseldorf, Stadt;61,73
5112000;Duisburg, Stadt;60,92
5113000;Essen, Stadt;66,15
5114000;Krefeld, Stadt;56,21
5116000;Mönchengladbach, Stadt;50,29
5117000;Mülheim an der Ruhr, Stadt;55,9
5119000;Oberhausen, Stadt;72,6
5120000;Remscheid, Stadt;43,52
5122000;Solingen, Klingenstadt;48,74
5124000;Wuppertal, Stadt;49,91
5154000;Kleve;17,34
5158000;Mettmann;39,82
5162000;Rhein-Kreis Neuss;31,32
5166000;Viersen;26,49
5170000;Wesel;22,56
5314000;Bonn, Stadt;52,37
5315000;Köln, Stadt;60,33
5316000;Leverkusen, Stadt;57,69
5334000;Städteregion Aachen;27,67
5358000;Düren;16,64
5362000;Rhein-Erft-Kreis;28,3
5366000;Euskirchen;13,58
5370000;Heinsberg;24,29
5374000;Oberbergischer Kreis;20,1
5378000;Rheinisch-Bergischer Kreis;25,85
5382000;Rhein-Sieg-Kreis;24,23
5512000;Bottrop, Stadt;42,24
5513000;Gelsenkirchen, Stadt;71,73
5515000;Münster, Stadt;33,05
5554000;Borken;17,56
5558000;Coesfeld;14,06
5562000;Recklinghausen;33,05
5566000;Steinfurt;17,78
5570000;Warendorf;14,82
5711000;Bielefeld, Stadt;43,85
5754000;Gütersloh;22
5758000;Herford;31,86
5762000;Höxter;11,34
5766000;Lippe;17,51
5770000;Minden-Lübbecke;20,95
5774000;Paderborn;16,05
5911000;Bochum, Stadt;70,25
5913000;Dortmund, Stadt;60,08
5914000;Hagen, Stadt der FernUniversität;35,61
5915000;Hamm, Stadt;33,44
5916000;Herne, Stadt;74,13
5954000;Ennepe-Ruhr-Kreis;29,27
5958000;Hochsauerlandkreis;12,64
5962000;Märkischer Kreis;17,08
5966000;Olpe;15,3
5970000;Siegen-Wittgenstein;16,9
5974000;Soest;15,76
5978000;Unna;31,83
6411000;Darmstadt, Wissenschaftsstadt;35,23
6412000;Frankfurt am Main, Stadt;58,7
6413000;Offenbach am Main, Stadt;49,15
6414000;Wiesbaden, Landeshauptstadt;39,68
6431000;Bergstraße;16,84
6432000;Darmstadt-Dieburg;19,24
6433000;Groß-Gerau;24,1
6434000;Hochtaunuskreis;20,04
6435000;Main-Kinzig-Kreis;16,11
6436000;Main-Taunus-Kreis;32,77
6437000;Odenwaldkreis;10,94
6438000;Offenbach;29,64
6439000;Rheingau-Taunus-Kreis;13,54
6440000;Wetteraukreis;15,94
6531000;Gießen;18,13
6532000;Lahn-Dill-Kreis;16,53
6533000;Limburg-Weilburg;17,43
6534000;Marburg-Biedenkopf;14,09
6535000;Vogelsbergkreis;10,52
6611000;Kassel, documenta-Stadt;61,51
6631000;Fulda;14,28
6632000;Hersfeld-Rotenburg;12,34
6633000;Kassel;14,39
6634000;Schwalm-Eder-Kreis;12,55
6635000;Waldeck-Frankenberg;10,03
6636000;Werra-Meißner-Kreis;11,57
7111000;Koblenz, kreisfreie Stadt;37
7131000;Ahrweiler;13,77
7132000;Altenkirchen (Westerwald);15,97
7133000;Bad Kreuznach;14
7134000;Birkenfeld;11,5
7135000;Cochem-Zell;11,3
7137000;Mayen-Koblenz;17,19
