Stations_id;Stationsname;geogr. Breite;geogr. Laenge;Stationshoehe;Bundesland
61;Aiterhofen;48844306;12617053;339;Bayern
73;Aldersbach-Kriestorf;48615918;13050637;340;Bayern
125;Altenstadt;47834163;10866744;742;Bayern
132;Altglashütte;49772498;12389068;750;Bayern
142;Altomünster-Maisbrunn;48406036;11311694;5105;Bayern
151;Amberg-Unterammersricht;49469061;11854626;3815;Bayern
154;Amerang-Pfaffing;48019737;12292473;5155;Bayern
175;Ansbach;49296441;10575139;413;Bayern
177;Ansbach-Hennenbach;49315838;10581537;418;Bayern
191;Arnstein-Müdesheim;49969403;9911391;2165;Bayern
202;Aschaffenburg;49977088;9109099;1105;Bayern
217;Attenkam;47877428;11364282;670;Bayern
221;Au i.d.Hallertau-Günzenhausen;48551532;11711686;483;Bayern
231;Augsburg (Sankt Stephan);48372348;10894805;490;Bayern
232;Augsburg;48425292;10941681;4615;Bayern
282;Bamberg;49874252;10920558;240;Bayern
283;Bamberg-Altenburg;49880775;10869488;382;Bayern
284;Bamberg (Sternwarte);4988;1088;282;Bayern
320;Heinersreuth-Vollhof;49966617;11519843;3495;Bayern
361;Berchtesgaden (KKst);47634447;13010919;550;Bayern
365;Berg/Oberpfalz;49331142;11430315;421;Bayern
502;Bischbrunn;49874669;948829;412;Bayern
578;Böhming;48945085;1136673;379;Bayern
606;Boos;48079043;10197712;5705;Bayern
652;Hagenbüchach;49535314;10770607;384;Bayern
685;Breitsol;49901666;9428099;585;Bayern
851;Pemfling-Pitzling;4925044;12604179;3915;Bayern
856;Chieming;47884257;12540368;5512;Bayern
867;Lautertal-Oberlauter;50306639;10967938;3438;Bayern
970;Dietenhofen;4941584;10673442;405;Bayern
982;Dillingen/Donau;48570123;10498459;420;Bayern
983;Dillingen/Donau-Fristingen;48556225;1055985;419;Bayern
1103;Ebersberg-Halbing;48100334;11987202;5915;Bayern
1107;Ebrach;49851954;10499124;3455;Bayern
1154;Eiberg;48341565;12882024;470;Bayern
1161;Eichstätt-Landershofen;48877749;1123488;384;Bayern
1262;München-Flughafen;48347741;11813385;4455;Bayern
1275;Ering;48300772;13139789;340;Bayern
1279;Möhrendorf-Kleinseebach;49649749;11007464;2675;Bayern
1280;Erlangen-Bruck;49569212;10992874;280;Bayern
1287;Eschau-Hobbach;4985887;928612;198;Bayern
1292;Eschenbach/Oberpfalz;49752196;11822151;470;Bayern
1332;Falkenberg,Kr.Rottal-Inn;48483155;12724136;471;Bayern
1357;Fichtelberg/Oberfranken-Hüttstadl;49980702;11837601;6545;Bayern
1374;Fladungen-Heufurt;50505008;10166849;3655;Bayern
1392;Flossenbürg;49731639;12348947;621;Bayern
1403;Frammersbach;50061648;9454993;260;Bayern
1473;Freystadt-Michelbach;49186949;11308043;414;Bayern
1515;Fürstenfeldbruck;482;112667;519;Bayern
1522;Fürth/Bayern (A);49481122;1096398;313;Bayern
1550;Garmisch-Partenkirchen;47482989;11062126;7193;Bayern
1586;Traunstein-Geißing;47877416;12627868;610;Bayern
1587;Gelbelsee;48948116;11428929;536;Bayern
1621;Geroda-Platz;50277725;991435;5525;Bayern
1689;Gößweinstein;49765641;11306236;441;Bayern
1721;Gräfenberg-Kasberg;4966399;11223886;5055;Bayern
1735;Grainet-Rehberg;4878935;13629026;628;Bayern
1832;Großer Arber;49112887;13133791;1436;Bayern
1833;Grosser Falkenstein;49085084;13280053;1307;Bayern
1844;Feldkirchen-Westerham-Lenzmühle;4794114;1190044;517;Bayern
1849;Großmehring-Theißing;48812602;11572802;408;Bayern
1886;Günzburg;48487813;10260783;4435;Bayern
2023;Harburg;48791834;10706234;5013;Bayern
2069;Hausstein;48862907;13066988;648;Bayern
2250;Höllenstein (Kraftwerk);49127875;12864512;403;Bayern
2260;Hof (Stadt);50323032;11907729;474;Bayern
2261;Hof;50312257;11876039;5652;Bayern
2268;Hofheim;50135089;10515559;265;Bayern
2290;Hohenpeißenberg;47800869;11010819;9772;Bayern
2319;Holzkirchen;47882292;11696146;685;Bayern
2344;Horlachen;5015105;11697963;582;Bayern
2360;Hüll;48601826;11676891;438;Bayern
2410;Ingolstadt (Flugplatz);48711147;11536252;364;Bayern
2417;Mittbach;48164379;12030747;621;Bayern
2480;Kahl/Main;50064347;8992973;1075;Bayern
2488;Kaisheim-Neuhof;48770102;10787615;516;Bayern
2521;Karlshuld;48676515;11296144;374;Bayern
2542;Kaufbeuren;47865204;10600653;716;Bayern
2543;Kaufering;4809158;10860913;585;Bayern
2559;Kempten;47723263;10334786;7052;Bayern
2597;Kissingen, Bad;50223991;10079245;2817;Bayern
2600;Kitzingen;49736318;10178126;193;Bayern
2680;Königshofen, Bad;50284014;10445599;2885;Bayern
2691;Königsmoos-Untermaxfeld;48670716;11217255;378;Bayern
2700;Kösching;48830189;11487243;416;Bayern
2708;Kohlgrub, Bad (Rosshof);47665187;11080459;742;Bayern
2750;Kronach;50252352;11320925;310;Bayern
2761;Krumbach-Edenhausen;48250959;10416274;520;Bayern
2773;Kümmersbruck;49428348;1190159;4153;Bayern
2780;Kulmbach;50100254;114494;330;Bayern
2783;Kumhausen;4851264;12151325;436;Bayern
2829;Landsberg (Flugplatz);48077199;10914394;621;Bayern
2830;Landsberg/Lech;48034886;10870912;602;Bayern
2831;Landshut;48535737;1211323;393;Bayern
2905;Lechfeld;48184868;10850695;550;Bayern
2920;Leiblfing;48765414;12512069;365;Bayern
2923;Leinau;47911599;1061235;663;Bayern
3016;Lindenberg/Allgäu;47598031;9887755;760;Bayern
3056;Lohr/Main-Steinbach;50010254;9609971;161;Bayern
3139;Maisach-Gernlinden;48216568;1129645;509;Bayern
3147;Mallersdorf-Pfaffenberg-Oberlindhart;48754821;12211843;390;Bayern
3211;Mauth-Finsterau;48935907;13574584;10115;Bayern
3244;Memmingen;47982065;1013838;614;Bayern
3245;Memmingen (Flugplatz);479833;102333;630;Bayern
3265;Mespelbrunn;49921963;9287219;2965;Bayern
3271;Metten;4885476;12918911;314;Bayern
3291;Miltenberg;49712009;9225801;1285;Bayern
3307;Mittenwald-Buckelwiesen;47477866;11265311;9835;Bayern
3319;Röllbach;49764399;9253038;2385;Bayern
3366;Mühldorf;48278982;12502407;4056;Bayern
3379;München-Stadt;48163202;11542893;5154;Bayern
3382;München-Bogenhausen;48144078;11600008;521;Bayern
3383;München-Botanischer Garten;48163475;11501922;515;Bayern
3385;München-Nymphenburg;48165975;11501122;515;Bayern
3388;München-Perlach;48091884;11648602;542;Bayern
3390;München-Riem;4813688;11709393;529;Bayern
3484;Neuburg/Donau (Flugplatz);48708492;11214669;380;Bayern
3485;Neuburg/Kammel-Langenhaslach;4831145;10377302;486;Bayern
3565;Neustadt/Aisch;49572809;10600131;315;Bayern
3571;Neustadt am Kulm-Filchendorf;49817404;11863829;4515;Bayern
3578;Regensburg-Burgweinting;48983114;1214444;341;Bayern
3621;Reimlingen;48825254;10506667;435;Bayern
3666;Nürnberg-Buchenbuehl;4950082;11106959;335;Bayern
3667;Nürnberg-Netzstall;49425771;11253851;369;Bayern
3668;Nürnberg;49503031;11054923;3138;Bayern
3679;Kiefersfelden-Gach;47618701;12166532;518;Bayern
3722;Oberschleißheim;48244344;11552779;484;Bayern
3730;Oberstdorf;47398429;10275881;8058;Bayern
3735;Obertaufkirchen;48263469;12276011;455;Bayern
3739;Oberviechtach;49452096;12436546;596;Bayern
3752;Ochsenkopf;50029964;11807449;1014;Bayern
3836;Ostheim v.d. Rhön;50453837;10221065;3135;Bayern
3856;Oy-Mittelberg;47638329;10431279;1010;Bayern
3857;Oy-Mittelberg-Petersthal;47636179;1038923;8855;Bayern
3875;Parsberg/Oberpfalz-Eglwang;4915102;11689638;549;Bayern
3878;Passau-Maierhof;48580547;13415212;3285;Bayern
3879;Passau-Oberhaus;48577943;13469437;409;Bayern
3922;Pfofeld-Langlau;49116163;108598;435;Bayern
3974;Pommelsbrunn;49505822;115142;368;Bayern
3975;Pommelsbrunn-Mittelburg;49477723;11535701;5215;Bayern
4005;Prien-Stock;47858816;12362406;530;Bayern
4018;Puch;48187671;11220561;550;Bayern
4066;Raisting;47909102;11104781;553;Bayern
4091;Rauschberg bei Ruhpolding;47732733;12682663;1640;Bayern
4104;Regensburg;49042482;12101943;3654;Bayern
4125;Reichenhall, Bad;47723835;12874037;470;Bayern
4261;Rosenheim;47875339;12127976;442;Bayern
4278;Roth bei Nürnberg;49251149;11093364;340;Bayern
4280;Roth;49216232;11103514;3857;Bayern
4287;Rothenburg ob der Tauber;49384854;10173232;415;Bayern
4327;Rusel-Irlmoos;48876506;1304899;797;Bayern
4354;Saldenburg-Entschenreuth;48783156;13314592;4565;Bayern
4377;Sandberg;50351779;10003374;5175;Bayern
4438;Scheßlitz;49974966;11039462;317;Bayern
4548;Schönwald/Ofr.-Brunn;50184665;12079139;608;Bayern
4559;Schorndorf-Knöbling;4916435;12617494;398;Bayern
4576;Schwabach (A);4932614;11011975;343;Bayern
4584;Schwaigermoos;483667;118;444;Bayern
4592;Schwandorf;49327835;12087053;356;Bayern
4597;Schwangau-Horn;47576937;1071814;792;Bayern
4621;Schweinfurt-Gartenstadt;50057452;10215981;240;Bayern
4664;Selb/Oberfranken-Wildenau;50196948;12172692;611;Bayern
4704;Sigmarszell-Zeisertsweiler;47577598;9740446;508;Bayern
4705;Silberhütte;497595;12389069;819;Bayern
4706;Simbach/Inn;48271797;13027276;3575;Bayern
4775;Speinshart;49785792;11821051;424;Bayern
4813;Staffelstein, Bad-Stublang;50080563;11046698;3175;Bayern
4818;Stammbach-Querenbach;50153146;11740168;597;Bayern
4911;Straubing;48827504;12559695;3505;Bayern
5017;Teuschnitz;50400246;1138883;633;Bayern
5032;Thüngersheim;49885045;9846868;197;Bayern
5046;Tirschenreuth-Lodermühl;49857617;12354218;5005;Bayern
5063;Tölz, Bad;47756622;11581916;724;Bayern
5074;Traunstein-Sparz;47866317;12656564;626;Bayern
5075;Traunstein-Axdorf;47851619;1261817;635;Bayern
5111;Trostberg;48031106;12539575;560;Bayern
5149;Gollhofen;49567948;10196927;3175;Bayern
5185;Uttenreuth;49593309;11070363;291;Bayern
5306;Waldhäuser (National Park);48929303;1346413;940;Bayern
5317;Waldsassen;5000967;12297877;509;Bayern
5369;Wasserburg;48057192;12220222;443;Bayern
5377;Watzmannhaus;47571353;12933731;1923;Bayern
5397;Weiden;49666221;12184448;4396;Bayern
5398;Weidenbach, Kr.Ansbach;49196452;10648729;425;Bayern
5403;Weigenheim-Reusch;49590005;10258781;309;Bayern
5404;Weihenstephan-Dürnast;48402404;11694552;4771;Bayern
5434;Weismain;50085754;11236431;317;Bayern
5440;Weißenburg-Emetzheim;4901153;10930837;4393;Bayern
5467;Wendelstein;47703531;12011857;1832;Bayern
5488;Mühlhausen, Kr. Schweinfurt;49962162;10048207;216;Bayern
5538;Wielenbach (Demollstr.);47882679;11157584;551;Bayern
5654;Wörnitz-Bottenweiler;49217848;10229589;464;Bayern
5703;Würzburg/Main;4979638;9894931;170;Bayern
5705;Würzburg;49770378;9957627;268;Bayern
5707;Würzburg (Physikalisches-Institut);4979948;9928027;175;Bayern
5792;Zugspitze;47421037;10984761;2956;Bayern
5800;Zwiesel;49028013;13238509;6147;Bayern
5802;Zwieselberg;49000693;13213664;615;Bayern
5856;Fürstenzell;48545114;13353159;4764;Bayern
5890;Kohlgrub, Bad (A);47677728;11047292;850;Bayern
5904;Mainburg;48649322;11777176;431;Bayern
5941;Reit im Winkl;47675415;12469775;6855;Bayern
6158;Weidenbach-Weiherschneidbach;49224877;10608471;454;Bayern
6182;Mallersdorf-Pfaffenberg;4877571;12174317;404;Bayern
6196;Selb-Spielberg;50158673;12038633;6105;Bayern
6219;Dollnstein-Breitenfurt;48876791;11104268;394;Bayern
6304;Pilsach-Litzlohe;4935334;11505303;550;Bayern
6312;Markt Erlbach-Mosbach;49531414;10641826;362;Bayern
6336;Lohr/Main-Halsbach;500132;9654033;288;Bayern
6346;Maisach-Galgen;48206984;11203508;531;Bayern
6347;Schonungen-Mainberg;5005794;10297205;305;Bayern
7075;Elsendorf-Horneck;48701956;11849253;4285;Bayern
7105;Siegsdorf-Höll;47835009;12654781;7185;Bayern
7319;Donauwörth-Osterweiler;48737412;10739322;435;Bayern
7350;Prackenbach-Neuhäusl;49108809;12823114;585;Bayern
7369;Feuchtwangen-Heilbronn;49162297;10366126;4751;Bayern
7370;Waldmünchen;49390952;12683802;4989;Bayern
7394;Wunsiedel-Schönbrunn;50031507;11974501;6223;Bayern
7395;Gottfrieding;48659461;12538816;3505;Bayern
7412;Neuhütten/Spessart;50008293;9423765;3395;Bayern
7424;Piding;4777239;12907282;4565;Bayern
7431;Oberhaching-Laufzorn;48013027;11552433;6035;Bayern
13710;Landshut-Reithof;4857337;12257556;490;Bayern
15555;Kaufbeuren-Oberbeuren;47876124;10584889;815;Bayern
15926;Fronberg (Schwandorf);49341;12133;370;Bayern
15965;Brückenau, Bad (Elisabethenhof);50310221;9783842;350;Bayern
19087;Freyung vorm Wald;48804879;13552775;645;Bayern
19617;Burghaslach;4973913;10603913;310;Bayern
19781;Ingolstadt;48742909;11423324;367;Bayern
1;Aach;47841299;8849299;478;Baden-Württemberg
70;Albstadt-Ebingen;48205158;903707;712;Baden-Württemberg
71;Albstadt-Badkap;4821555;8978387;759;Baden-Württemberg
72;Albstadt-Onstmettingen;4827655;9000074;794;Baden-Württemberg
257;Baden-Baden-Geroldsau;48726985;8245738;240;Baden-Württemberg
259;Müllheim;47806371;7638692;275;Baden-Württemberg
268;Baiersbronn-Obertal;48529319;8272676;622;Baden-Württemberg
273;Baindt;47841302;9660585;467;Baden-Württemberg
474;Warthausen-Birkenhard;4812517;9763868;599;Baden-Württemberg
576;Böblingen;48675904;8973175;445;Baden-Württemberg
706;Eschbach;47885791;7661066;234;Baden-Württemberg
710;Bretten;49024935;8699046;182;Baden-Württemberg
755;Buchen, Kr. Neckar-Odenwald;49518196;932127;340;Baden-Württemberg
757;Buchenbach;4796248;7998337;445;Baden-Württemberg
772;Bühlertal;486957;8174389;190;Baden-Württemberg
773;Bühlertal-Obertal;48674302;8179888;478;Baden-Württemberg
881;Crailsheim-Alexandersreut;49098476;10097896;423;Baden-Württemberg
931;Deggenhausertal-Azenweiler;47800675;941082;712;Baden-Württemberg
998;Dobel;48796789;8492143;696;Baden-Württemberg
1018;Donaueschingen;47942187;8504647;677;Baden-Württemberg
1102;Ebersbach/Fils;48720101;9532795;300;Baden-Württemberg
1146;Ehningen;48659306;8912084;487;Baden-Württemberg
1169;Eimeldingen;4762882;7595876;264;Baden-Württemberg
1197;Ellwangen-Rindelbach;48989494;10131236;463;Baden-Württemberg
1214;Elzach-Fisnacht;48201207;810884;4305;Baden-Württemberg
1224;Emmendingen-Mundingen;48137773;783505;2005;Baden-Württemberg
1239;Engen/Hegau;47851598;876731;540;Baden-Württemberg
1243;Eningen;48473429;930283;705;Baden-Württemberg
1254;Eppingen;49130652;891648;210;Baden-Württemberg
1255;Eppingen-Elsenz;49166076;8848334;226;Baden-Württemberg
1276;Eriskirch-Mariabrunn;47635825;9539204;408;Baden-Württemberg
1346;Feldberg/Schwarzwald;47874842;8003793;14861;Baden-Württemberg
1440;Freiamt-Ottoschwanden;48201822;7933603;4755;Baden-Württemberg
1443;Freiburg;48023242;7834292;2365;Baden-Württemberg
1447;Freiburg im Breisgau-Herdern;48012977;7858837;255;Baden-Württemberg
1468;Freudenstadt;48453828;8408952;7965;Baden-Württemberg
1490;Friedrichshafen;47645363;9479522;394;Baden-Württemberg
1492;Malsburg-Marzell-Friedrichsheim;47781903;7734756;852;Baden-Württemberg
1584;Geisingen;47924175;8647358;673;Baden-Württemberg
1602;Ohlsbach;48432972;7993002;177;Baden-Württemberg
1875;Gschwend, Kr. Ostalb;48935378;9736363;492;Baden-Württemberg
2074;Hechingen;48375242;8980043;5175;Baden-Württemberg
2080;Heidelberg;49420618;8667613;110;Baden-Württemberg
2081;Königstuhl;49398121;8725105;561;Baden-Württemberg
2083;Heidelberg-Grenzhof;49419218;8605122;110;Baden-Württemberg
2088;Heidenheim/Brenz;48684941;10141978;522;Baden-Württemberg
2095;Heilbronn;49144752;9233334;167;Baden-Württemberg
2159;Herrenberg;48591536;8854123;434;Baden-Württemberg
2228;Hinterzarten;4789829;8105503;883;Baden-Württemberg
2349;Hornisgrinde;48613637;8203343;11381;Baden-Württemberg
2388;Ihringen;48041893;7632223;1925;Baden-Württemberg
2406;Ingelfingen;49296736;9651972;209;Baden-Württemberg
2485;Kaisersbach-Cronhütte;48917038;9687101;4887;Baden-Württemberg
2522;Karlsruhe;49038161;836406;1116;Baden-Württemberg
2546;Kehl-Odelshofen;48557579;7879983;140;Baden-Württemberg
2575;Kirchberg/Jagst-Herboldshausen;49180406;9979985;4315;Baden-Württemberg
2638;Klippeneck;48105397;8754788;9735;Baden-Württemberg
2654;Knittlingen;49026464;8755404;200;Baden-Württemberg
2712;Konstanz;47695219;9130698;4281;Baden-Württemberg
2775;Künzelsau;49279538;9692466;225;Baden-Württemberg
2812;Lahr;48364742;7827986;1557;Baden-Württemberg
2814;Merklingen;48512173;9764396;687;Baden-Württemberg
2879;Lauda-Königshofen-Gerlachsheim;49578104;971416;199;Baden-Württemberg
2886;Laupheim;48217539;9909736;539;Baden-Württemberg
2949;Lenningen-Schopfloch;48539622;9527497;758;Baden-Württemberg
2953;Lenzkirch-Ruhbühl;47859705;8230755;854;Baden-Württemberg
2996;Liebenzell, Bad;48772592;8728709;352;Baden-Württemberg
3001;Liliental;4806737;7676963;284;Baden-Württemberg
3135;Mainhardt-Ziegelbronn;49064262;9581984;473;Baden-Württemberg
3223;Meersburg;47698517;927534;460;Baden-Württemberg
3253;Sankt Blasien-Menzenschwand;4783087;8069848;882;Baden-Württemberg
3257;Mergentheim, Bad-Neunkirchen;49477324;9762223;2505;Baden-Württemberg
3268;Meßstetten-Appental;48169353;8943265;8995;Baden-Württemberg
3278;Metzingen;48537661;9273374;354;Baden-Württemberg
3362;Mühlacker;48972073;8873462;2432;Baden-Württemberg
3402;Münsingen-Apfelstetten;48385084;9483739;7545;Baden-Württemberg
3425;Murrhardt;4897288;9571159;344;Baden-Württemberg
3432;Nagold;48567499;8717902;380;Baden-Württemberg
3486;Neudenau;49293135;9272227;212;Baden-Württemberg
3518;Neuhausen ob Eck;47975984;8910089;793;Baden-Württemberg
3519;Neuhausen ob Eck-Unterschwandorf;47951903;8993205;6625;Baden-Württemberg
3603;Niederstetten;49389529;9966633;4591;Baden-Württemberg
3605;Niederstotzingen;48533374;10242717;4505;Baden-Württemberg
3671;Nürtingen;48632111;9326125;280;Baden-Württemberg
3672;Nufringen;4862071;8896186;457;Baden-Württemberg
3705;Oberndorf/Neckar-Aistaig;48314658;8573536;475;Baden-Württemberg
3734;Obersulm-Willsbach;49128011;9352501;230;Baden-Württemberg
3751;Ochsenhausen-Mittelbuch;4804488;9882152;626;Baden-Württemberg
3761;Öhringen;49207016;9517582;2759;Baden-Württemberg
3777;Offenburg;48459326;7925526;153;Baden-Württemberg
3924;Pforzheim-Eutingen;48905877;8741206;246;Baden-Württemberg
3925;Pforzheim-Ispringen;4893291;869727;332;Baden-Württemberg
3927;Pfullendorf;47934471;928693;6295;Baden-Württemberg
3929;Philippsburg;49251137;8441547;100;Baden-Württemberg
4053;Radolfzell-Markelfingen;47745741;9000639;407;Baden-Württemberg
4077;Rastatt;48847128;8186809;114;Baden-Württemberg
4094;Weingarten, Kr. Ravensburg;47806248;9620579;4405;Baden-Württemberg
4152;Remetschwiel;47678316;8152698;760;Baden-Württemberg
4160;Renningen-Ihinger Hof;48742509;8923969;478;Baden-Württemberg
4166;Reutlingen-Betzingen;48505124;9183346;360;Baden-Württemberg
4169;Rheinau-Memprechtshofen;48670276;7993861;1305;Baden-Württemberg
4175;Rheinfelden;47558973;7772149;2825;Baden-Württemberg
4177;Rheinstetten;48972627;8330081;1161;Baden-Württemberg
4189;Altheim, Kreis Biberach;48147903;9459615;5335;Baden-Württemberg
4294;Rottenburg-Kiebingen;48470407;8968701;360;Baden-Württemberg
4300;Rottweil;48181464;8635552;589;Baden-Württemberg
4330;Rutesheim;4880259;8955677;449;Baden-Württemberg
4349;Sachsenheim;4895688;9071052;251;Baden-Württemberg
4419;Schallstadt-Mengen;4795565;7713307;212;Baden-Württemberg
4433;Schemmerhofen-Ingerkingen;48199362;9769966;519;Baden-Württemberg
4557;Schopfheim-Eichen;47646351;7843961;399;Baden-Württemberg
4581;Schwäbisch Gmünd-Strassdorf;48776796;9802456;415;Baden-Württemberg
4582;Schwäbisch Hall-Bibersfeld;49082287;968915;358;Baden-Württemberg
4702;Sigmaringen (Flugplatz);481;925;645;Baden-Württemberg
4703;Sigmaringen-Laiz;48071864;9194326;5805;Baden-Württemberg
4719;Sinsheim;49244739;8878684;169;Baden-Württemberg
4837;Stegen;4798688;7946625;363;Baden-Württemberg
4881;Stockach;47859059;9015181;5325;Baden-Württemberg
4887;Stötten;48665587;9864791;7338;Baden-Württemberg
4926;Stuttgart (Neckartal);48789592;9216739;224;Baden-Württemberg
4927;Stuttgart-Stadt;48769294;9181444;286;Baden-Württemberg
4928;Stuttgart (Schnarrenberg);48828085;9200028;3143;Baden-Württemberg
4931;Stuttgart-Echterdingen;48684905;9220141;378;Baden-Württemberg
4933;Stuttgart-Hohenheim;48709127;9214712;401;Baden-Württemberg
4987;Tauberbischofsheim-Dittigheim;496122;9674665;179;Baden-Württemberg
5047;Titisee-Neustadt-Langenordnach;47939386;819329;870;Baden-Württemberg
5059;Todtmoos;47727934;7998838;7805;Baden-Württemberg
5105;Trochtelfingen;48313247;9247239;700;Baden-Württemberg
5107;Trochtelfingen-Wilsingen;48281384;9313694;769;Baden-Württemberg
5120;Tübingen;48519822;9051465;370;Baden-Württemberg
5127;Tuttlingen;4800828;8817902;649;Baden-Württemberg
5128;Tuttlingen-Möhringen-Vorstadt;47968152;8789874;6675;Baden-Württemberg
5138;Überlingen/Bodensee;47771308;9156156;446;Baden-Württemberg
5155;Ulm;48383656;9952422;5668;Baden-Württemberg
5229;Villingen-Schwenningen;48045325;8460769;719;Baden-Württemberg
5250;Vogtsburg-Oberrotweil;48090768;7635268;223;Baden-Württemberg
5275;Waghäusel-Kirrlach;49244471;8537434;1045;Baden-Württemberg
5284;Waiblingen;48827888;9322824;224;Baden-Württemberg
5291;Waldau-Jostal;47975982;8155796;1005;Baden-Württemberg
5320;Waldshut;47617223;8238786;330;Baden-Württemberg
5429;Weinsberg;49151151;9292025;219;Baden-Württemberg
5435;Weissach;4884573;890729;455;Baden-Württemberg
5453;Weisweil-Waldeckhof;48188008;7697606;1735;Baden-Württemberg
5460;Wellendingen;48147664;8695418;655;Baden-Württemberg
5498;Wertheim-Eichel;49766682;9542783;140;Baden-Württemberg
5559;Wildbad, Bad-Calmbach;48784843;8576383;383;Baden-Württemberg
5562;Neubulach-Oberhaugstett;4865156;8680111;5705;Baden-Württemberg
5609;Winterbach, Rems-Murr-Kreis;48803087;9469902;241;Baden-Württemberg
5664;Wolfach;48295324;8239068;296;Baden-Württemberg
5688;Dachsberg-Wolpadingen;47700359;8105736;8805;Baden-Württemberg
5731;Wutöschingen-Ofteringen;47678267;8380132;3945;Baden-Württemberg
5885;Kirchheim/Teck-Ötlingen;48658208;9420311;289;Baden-Württemberg
5898;Ludwigsburg;4889428;920584;287;Baden-Württemberg
5906;Mannheim;49506251;8558439;98;Baden-Württemberg
5971;Welzheim (A);48878684;9634179;510;Baden-Württemberg
6258;Friedrichshafen-Unterraderach;47684486;9440903;461;Baden-Württemberg
6259;Großerlach-Mannenweiler;49021043;9603252;5235;Baden-Württemberg
6260;Ingelfingen-Stachenhausen;4933275;9704008;385;Baden-Württemberg
6262;Schwäbisch Gmünd-Weiler;48769466;9873745;412;Baden-Württemberg
6263;Singen;47773799;8821934;445;Baden-Württemberg
6275;Notzingen;48670477;9462704;3265;Baden-Württemberg
7135;Aulendorf-Haslach;47965473;9680409;565;Baden-Württemberg
7187;Freudenberg/Main-Boxtal;49763628;9406294;1935;Baden-Württemberg
7331;Hermaringen-Allewind;48609888;10267397;4665;Baden-Württemberg
7403;Leutkirch-Herlazhofen;47795529;10032457;6717;Baden-Württemberg
13674;Waibstadt;49294262;8905286;2366;Baden-Württemberg
13965;Balingen-Bronnhaupten;48263864;8813418;619;Baden-Württemberg
15444;Ulm-Mähringen;48441768;9921613;5926;Baden-Württemberg
19647;Eberbach/Neckar;49454703;8979441;178;Baden-Württemberg
44;Großenkneten;52933593;8237018;44;Niedersachsen
78;Alfhausen;52485322;7912544;635;Niedersachsen
102;Leuchtturm Alte Weser;5386333;81275;0;Niedersachsen
172;Annaturm;52248598;9505562;395;Niedersachsen
243;Aurich;53462052;7466971;4;Niedersachsen
294;Barsinghausen-Hohenbostel;52319851;942997;1095;Niedersachsen
327;Bederkesa;53623437;8832253;27;Niedersachsen
342;Belm;52317043;816943;1033;Niedersachsen
368;Bergen;52815233;9924809;685;Niedersachsen
588;Boffzen;51751954;9395285;105;Niedersachsen
619;Borkum-Süderstraße;53578793;6670348;116;Niedersachsen
642;Brake;5335176;8496943;35;Niedersachsen
643;Brake-Süderfeld;53295974;8452916;0;Niedersachsen
645;Bramsche;52408318;7968234;75;Niedersachsen
656;Braunlage;51723383;10602109;6073;Niedersachsen
660;Braunschweig-Gliesmarode;522744;10565599;83;Niedersachsen
661;Braunschweig (T.H.);522708;10533404;75;Niedersachsen
662;Braunschweig;52291469;10446448;814;Niedersachsen
703;Bremervörde (A);53477855;9155304;5;Niedersachsen
704;Bremervörde;53445118;913903;106;Niedersachsen
705;Bremervörde-Niederochtenhausen;53531249;9166401;5;Niedersachsen
760;Rosengarten-Klecken;533629;9943511;83;Niedersachsen
769;Bückeburg;52281691;908895;68;Niedersachsen
848;Celle (Stadt);52614642;10072598;38;Niedersachsen
850;Celle;5259591;10029585;447;Niedersachsen
863;Clausthal-Zellerfeld;51790354;10347039;585;Niedersachsen
865;Cloppenburg;52844124;8062381;42;Niedersachsen
891;Cuxhaven;53871341;8706028;49;Niedersachsen
963;Diepholz;52588112;8342405;377;Niedersachsen
1066;Duderstadt;51503986;10261256;180;Niedersachsen
1172;Einbeck;51818948;9887109;123;Niedersachsen
1204;Elsfleth;53234581;8461216;1;Niedersachsen
1219;Emden-Nesserland;53344865;7190915;5;Niedersachsen
1221;Emden-Wolthusen;53370663;722361;0;Niedersachsen
1299;Esens;53647631;7608548;3;Niedersachsen
1339;Faßberg;52915651;10188503;762;Niedersachsen
1451;Freiburg/Elbe;53827696;9249276;2;Niedersachsen
1503;Friesoythe-Altenoythe;53064301;7901969;57;Niedersachsen
