Gemeindeschlüsselnummer;Gemeindename;Durchschnittliche Wohnfläche je Wohnung (qm);Durchschnittliche Anzahl der Räume je Wohnung (qm)
10515163003;Averlak;119,9;5,2
10515163022;Dingen;124,5;5,2
10515163024;Eddelak;118,1;5,2
10515163032;Frestedt;128,1;5,2
10515163051;Hochdonn;121,1;5,2
10515163064;Kuden;123;5,2
10515163089;Quickborn;125,8;5,2
10515166062;Kronprinzenkoog;125,7;5,2
10515166090;Ramhusen;128,8;5,2
10515169005;Barkenholm;120,1;5,2
10515169068;Linden (Kreis Dithmarschen);127,4;5,2
10515169100;Schalkholz;127,9;5,2
10515172130;Wesseln;122,6;5,2
10515175039;Gudendorf;118,4;5,2
10515175098;Sarzbüttel;127,4;5,2
10515175104;Schrum;132;5,2
10515178105;Schülp;123,3;5,2
10535308103;Rondeshagen;130,7;5,2
10535313005;Bälau;133;5,2
10535358004;Bäk;129,3;5,2
10535358043;Groß Sarau;129,6;5,2
10535358078;Kulpin;135,4;5,2
10535358110;Schmilau;120;5,2
10535358136;Ziethen (Kreis Herzogtum Lauenburg);123;5,2
10535373021;Dahmker;127,4;5,2
10535373045;Grove;124;5,2
10535373071;Kollow;121,5;5,2
10535391099;Poggensee;119,7;5,2
10535391118;Siebenbäumen;123,7;5,2
10545489017;Braderup;121,2;5,2
10545489048;Holm (Kreis Nordfriesland);126,3;5,2
10545489125;Stadum;120,5;5,2
10545489126;Stedesand;124,7;5,2
10545489166;Emmelsbüll-Horsbüll;121,5;5,2
10545492023;Drage (Kreis Nordfriesland);125,1;5,2
10545492043;Hattstedtermarsch;131,9;5,2
10545492070;Koldenbüttel;119,6;5,2
10545492105;Ramstedt;119,9;5,2
10545492161;Witzwort;117;5,2
10545494002;Ahrenshöft;125,5;5,2
10545494006;Almdorf;118,4;5,2
10545494038;Goldelund;123;5,2
10545494121;Sönnebüll;119,5;5,2
10545494128;Struckum;120,1;5,2
10565660011;Bullenkuhlen;126,4;5,2
10570008008;Bönebüttel;120,6;5,2
10575727034;Kirchnüchel;116,3;5,2
10575727082;Tröndel;118,9;5,2
10575739045;Lebrade;115,1;5,2
10575747046;Lehmkuhlen;119,7;5,2
10575747059;Postfeld;129,8;5,2
10575747066;Rastorf;123,5;5,2
10575747070;Schellhorn;116,8;5,2
10575755060;Prasdorf;119,3;5,2
10575755081;Stoltenberg;120,4;5,2
10575785083;Tasdorf;127,2;5,2
10585803130;Quarnbek;124,8;5,2
10585833118;Nübbel;124,4;5,2
10585847047;Elsdorf-Westermühlen;124,1;5,2
10585847056;Friedrichsholm;124,2;5,2
10585847070;Hamdorf;124;5,2
10585853031;Brinjahe;117;5,2
10585853101;Luhnstedt;122,7;5,2
10585853148;Schülp b. Rendsburg;125,1;5,2
10585864049;Emkendorf;119,4;5,2
10585864147;Schülp b. Nortorf;120,1;5,2
10585864163;Timmaspe;122,5;5,2
10585888026;Bovenau;121,6;5,2
10585890083;Hütten (Kreis Rendsburg-Eckernförde);131,7;5,2
10585893067;Güby;124,5;5,2
10585893102;Goosefeld;123,6;5,2
10585895062;Grauel;125,9;5,2
10585895106;Mörel;129,6;5,2
10585895119;Oldenbüttel;121,1;5,2
10585895164;Todenbüttel;120,8;5,2
10595912138;Langstedt;129,6;5,2
10595919103;Ausacker;125;5,2
10595919141;Maasbüll;120,8;5,2
10595920034;Grödersby;114,4;5,2
10595937145;Munkbrarup;125,9;5,2
10595952177;Weesby;129,2;5,2
10595952179;Lindewitt;122;5,2
10595974006;Böel;118,8;5,2
10595987037;Havetoft;123,8;5,2
10595987042;Idstedt;121,4;5,2
10595987082;Struxdorf;125,1;5,2
10595987086;Taarstedt;124,4;5,2
10595987093;Uelsby;126,3;5,2
10595990148;Niesgrau;122,9;5,2
10595993039;Hollingstedt (Kreis Schleswig-Flensburg);125,6;5,2
10595993057;Lürschau;121,8;5,2
10595996009;Börm;127,3;5,2
10595996035;Groß Rheide;124,7;5,2
10595996050;Klein Bennebek;119,4;5,2
10595996096;Wohlde;118,6;5,2
10605005013;Borstel (Kreis Segeberg);127;5,2
10605005033;Hardebek;130,1;5,2
10605005035;Hasenkrug;133,8;5,2
10605005037;Heidmoor;135,2;5,2
10605005040;Hitzhusen;129,8;5,2
10605024017;Damsdorf;119,7;5,2
10605048066;Oersdorf;133,3;5,2
10605048100;Winsen;133,6;5,2
10605063016;Daldorf;124;5,2
10605086010;Blunk;125,2;5,2
10605086024;Geschendorf;123,5;5,2
10605086069;Rohlstorf;124,8;5,2
10605086090;Travenhorst;118,3;5,2
10605086096;Weede;120,3;5,2
10615134012;Blomesche Wildnis;122,9;5,2
10615134074;Neuendorf b. Elmshorn;125,3;5,2
10615134101;Sommerland;116,8;5,2
10615138039;Hodorf;128,9;5,2
10615138052;Kleve (Kreis Steinburg);122,7;5,2
10615168001;Aasbüttel;123,2;5,2
10615168078;Nutteln;119,7;5,2
10615168091;Reher;122,4;5,2
10615168106;Vaalermoor;122,9;5,2
10615179002;Aebtissinwisch;133;5,2
10615179023;Dammfleth;120;5,2
10615179077;Nortorf;125;5,2
10615179119;Neuendorf-Sachsenbande;121,6;5,2
10625244059;Rehhorst;122,2;5,2
10625262011;Braak;134,8;5,2
10625270026;Hamfelde (Kreis Stormarn);128,5;5,2
31510025025;Sassenburg;124,7;5,2
31515401014;Jembke;131;5,2
31515401020;Osloß;122,1;5,2
31515402008;Ehra-Lessien;127,7;5,2
31515402021;Parsau;127;5,2
31515404006;Calberlah;123;5,2
31515405015;Leiferde;126,1;5,2
31515405017;Meinersen;125;5,2
31515406027;Schwülper;129,3;5,2
31515406034;Vordorf;127,7;5,2
31530008008;Liebenburg;113,1;5,2
31545404004;Danndorf;125,9;5,2
31570008008;Wendeburg;125,7;5,2
31580006006;Cremlingen;119,2;5,2
31585407008;Denkte;124,5;5,2
31585407021;Kissenbrück;122,5;5,2
31590010010;Duderstadt, Stadt;114;5,2
31595402014;Gieboldehausen, Flecken;116,2;5,2
32510007007;Bassum, Stadt;121,4;5,2
32515405030;Rehden;122,8;5,2
32520007007;Hessisch Oldendorf, Stadt;115,8;5,2
32540003003;Algermissen;119,1;5,2
32540008008;Bockenem, Stadt;113,2;5,2
32540020020;Harsum;116,8;5,2
32555401002;Bevern, Flecken;113,2;5,2
32555408033;Polle, Flecken;110,5;5,2
32560025025;Rehburg-Loccum, Stadt;117,9;5,2
32565411021;Marklohe;121,8;5,2
32575403016;Hohnhorst;124,7;5,2
32575403036;Suthfeld;124,6;5,2
32575405013;Helpsen;121;5,2
32575407004;Auhagen;122,6;5,2
33510004004;Bergen, Stadt;115,2;5,2
33510025025;Eschede;116,5;5,2
33515402005;Bröckel;128,9;5,2
33515402022;Wienhausen, Klostergemeinde;121,1;5,2
33515403003;Beedenbostel;120,8;5,2
33520060060;Hagen im Bremischen;123,5;5,2
33525411004;Belum;123,6;5,2
33525411056;Wingst;118,1;5,2
33535403014;Halvesbostel;122,4;5,2
33555401029;Rehlingen;126,6;5,2
33555402023;Mechtersen;136,3;5,2
33555403010;Boitze;123,6;5,2
33555404041;Westergellersen;128,6;5,2
33555406005;Barendorf;123,6;5,2
33565401003;Hambergen;122,3;5,2
33575401025;Hemslingen;122,4;5,2
33575405050;Vierden;126,1;5,2
33575407047;Tarmstedt;119,1;5,2
33585402018;Rethem (Aller), Stadt;119,5;5,2
33595402011;Deinste;125,1;5,2
33595402031;Kutenholz;122,1;5,2
33595409022;Hammah;124,6;5,2
33610006006;Langwedel, Flecken;121,7;5,2
33615401013;Thedinghausen;128,8;5,2
34510001001;Apen;116;5,2
34520007007;Großheide;118,2;5,2
34520025025;Wiesmoor, Stadt;118;5,2
34525401022;Rechtsupweg;116,9;5,2
34525401024;Upgant-Schott;114,2;5,2
34525401026;Wirdum;114,1;5,2
34540035035;Meppen, Stadt;114,2;5,2
34545407047;Sögel;119;5,2
34550027027;Zetel;114,1;5,2
34570012012;Jemgum;115,4;5,2
34570014014;Moormerland;116,1;5,2
34570021021;Weener, Stadt;114,7;5,2
34590012012;Bissendorf;121,5;5,2
34590029029;Ostercappeln;122,6;5,2
34595402010;Bersenbrück, Stadt;119,9;5,2
34595402031;Rieste;120,7;5,2
34610008008;Ovelgönne;120;5,2
34610009009;Stadland;118;5,2
34625401006;Holtgast;112,3;5,2
34625401008;Moorweg;116,9;5,2
53340020020;Monschau, Stadt;117,5;5,2
53340024024;Roetgen, Tor zur Eifel;126,4;5,2
53700008008;Gangelt;120,5;5,2
55540004004;Ahaus, Stadt;116,5;5,2
55540056056;Stadtlohn, Stadt;117,2;5,2
55580008008;Billerbeck, Stadt;117;5,2
55660032032;Ladbergen;116,6;5,2
55660036036;Laer;119,7;5,2
55660068068;Ochtrup, Stadt;116,8;5,2
55660080080;Saerbeck, NRW-Klimakommune;119,4;5,2
55660092092;Westerkappeln;116,3;5,2
55700024024;Everswinkel;118,4;5,2
57540024024;Langenberg;118,2;5,2
57620008008;Beverungen, Stadt;113,9;5,2
57620036036;Warburg, Hansestadt;115,9;5,2
57660024024;Dörentrup;112,5;5,2
57740012012;Borchen;119,2;5,2
57740020020;Delbrück, Stadt;120,7;5,2
57740040040;Bad Wünnenberg, Stadt;119,7;5,2
59580024024;Marsberg, Stadt;113,6;5,2
59580028028;Medebach, Hansestadt;113,7;5,2
59660012012;Finnentrop;112,3;5,2
59700016016;Freudenberg, Stadt (Kreis Siegen-Wittgenstein);112,8;5,2
59700036036;Neunkirchen (Kreis Siegen-Wittgenstein);111,8;5,2
59740012012;Ense;116,6;5,2
64340013013;Weilrod;123,4;5,2
64350003003;Biebergemünd;116,7;5,2
64350005005;Brachttal;119,5;5,2
64350008008;Flörsbachtal;119,2;5,2
64370010010;Lützelbach;116,4;5,2
64390005005;Heidenrod;120,4;5,2
64390006006;Hohenstein (Landkreis Rheingau-Taunus-Kreis);120,6;5,2
64390007007;Hünstetten;126,1;5,2
64390010010;Lorch, Stadt (Landkreis Rheingau-Taunus-Kreis);108,6;5,2
64390016016;Waldems;124,8;5,2
64400021021;Reichelsheim (Wetterau), Stadt;117,8;5,2
65310010010;Laubach, Stadt;115,6;5,2
65320008008;Ehringshausen;115,7;5,2
65320014014;Hüttenberg;118,6;5,2
65320020020;Sinn;113,5;5,2
65330010010;Löhnberg;115,3;5,2
65330018018;Weilmünster, Marktflecken;118,1;5,2
65340012012;Lahntal;118;5,2
65340016016;Neustadt (Hessen), Stadt;113,3;5,2
65340021021;Wetter (Hessen), Stadt;116,4;5,2
65350009009;Homberg (Ohm), Stadt;116,4;5,2
66310008008;Flieden;115,9;5,2
66310012012;Hilders, Marktgemeinde;114,3;5,2
66310013013;Hofbieber;117,6;5,2
66310021021;Poppenhausen (Wasserkuppe);117,5;5,2
66320011011;Kirchheim (Landkreis Hersfeld-Rotenburg);111,6;5,2
66330005005;Calden;115,2;5,2
66330010010;Grebenstein, Stadt;114,2;5,2
66330019019;Nieste;120,9;5,2
66330022022;Reinhardshagen;113,5;5,2
66330024024;Söhrewald;112,5;5,2
66340001001;Borken (Hessen), Stadt;111,9;5,2
66340002002;Edermünde;119,1;5,2
66340017017;Neukirchen, Stadt;111,5;5,2
66340018018;Niedenstein, Stadt;118,4;5,2
66350005005;Bromskirchen;113,4;5,2
66350021021;Waldeck, Nationalparkstadt;113,5;5,2
66360004004;Großalmerode, Stadt;107,8;5,2
66360011011;Sontra, Stadt;110,5;5,2
71310090090;Grafschaft;122,9;5,2
71315001501;Dümpelfeld;111,2;5,2
71315002002;Ahrbrück;117,5;5,2
71315002027;Heckenbach;120,7;5,2
71315002047;Lind (Landkreis Ahrweiler);120,5;5,2
71315004054;Niederdürenbach;120,1;5,2
71315004055;Niederzissen;120,6;5,2
71315004059;Oberdürenbach;122,3;5,2
71315004073;Schalkenbach;120,5;5,2
71315004209;Wassenach;116;5,2
71325003050;Herdorf, Stadt;107,5;5,2
